ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,19,1,2024-11-05,Iona,@,UCF,REG (Non-Conf),L 44-76,,20,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,2,2,0,0,1,1,4,7,2.0,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
2,20,2,2024-11-12,Iona,,Navy,REG (Non-Conf),L 53-55,,31,4,8,.500,1,3,.333,3,5,.600,.563,1,2,.500,3,3,6,1,0,0,1,3,10,7.1,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
3,21,3,2024-11-15,Iona,@,Rutgers,REG (Non-Conf),L 53-81,,22,3,8,.375,1,4,.250,2,4,.500,.438,2,2,1.000,4,1,5,0,0,0,1,4,9,5.1,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
4,22,4,2024-11-20,Iona,,College of Charleston,REG (Non-Conf),L 41-77,*,7,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,1,1,0,1,0,0,1,2,0.5,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
5,23,5,2024-11-26,Iona,,Wagner,REG (Non-Conf),W 70-51,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
6,24,6,2024-11-29,Iona,N,Akron,REG (Non-Conf),L 51-64,,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
7,25,7,2024-11-30,Iona,N,UMBC,REG (Non-Conf),L 40-62,,5,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.1,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
8,26,9,2024-12-10,Iona,@,UMass Lowell,REG (Non-Conf),L 38-49,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
9,27,10,2024-12-19,Iona,,Sacred Heart,REG (Conf),W 58-44,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
10,28,12,2024-12-29,Iona,@,Hofstra,REG (Non-Conf),L 43-59,,11,1,10,.100,0,4,.000,1,6,.167,.100,0,0,,2,2,4,0,0,0,1,1,2,-4.0,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
11,29,15,2025-01-09,Iona,,Fairfield,REG (Conf),L 50-72,,3,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,1,0,1,0,0,0,0,0,1,0.6,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
12,30,16,2025-01-11,Iona,@,Quinnipiac,REG (Conf),L 58-66,,12,3,4,.750,1,1,1.000,2,3,.667,.875,5,5,1.000,3,0,3,0,0,0,1,4,12,9.9,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
13,31,17,2025-01-16,Iona,@,Canisius,REG (Conf),L 63-66,,21,3,7,.429,1,3,.333,2,4,.500,.500,0,0,,0,2,2,0,0,0,2,3,7,0.7,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
14,32,19,2025-01-25,Iona,@,Siena,REG (Conf),L 68-79,,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Emma Donnelly,https://www.sports-reference.com/cbb/players/emma-donnelly-1.html,iona,2024-25
