ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-04,La Salle,@,Maine,REG (Non-Conf),L 51-65,,29,5,10,.500,1,3,.333,4,7,.571,.550,1,2,.500,2,1,3,2,2,0,0,3,12,10.5,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
2,2,2,2024-11-09,La Salle,,Delaware,REG (Non-Conf),W 68-54,,24,4,9,.444,1,4,.250,3,5,.600,.500,0,0,,1,2,3,2,0,0,1,2,9,5.2,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
3,3,3,2024-11-13,La Salle,@,Drexel,REG (Non-Conf),L 40-73,,24,1,6,.167,1,4,.250,0,2,.000,.250,2,2,1.000,0,6,6,0,1,0,2,4,5,0.4,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
4,4,4,2024-11-17,La Salle,@,Virginia,REG (Non-Conf),L 47-76,,29,5,12,.417,3,8,.375,2,4,.500,.542,3,4,.750,2,3,5,2,1,0,3,2,16,10.1,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
5,5,5,2024-11-20,La Salle,,Rider,REG (Non-Conf),W 55-54,*,26,1,9,.111,1,4,.250,0,5,.000,.167,0,2,.000,3,1,4,4,2,0,2,5,3,-0.5,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
6,6,6,2024-11-23,La Salle,@,American,REG (Non-Conf),W 69-60,*,31,3,9,.333,1,4,.250,2,5,.400,.389,2,4,.500,4,5,9,1,1,0,2,0,9,7.1,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
7,7,7,2024-11-26,La Salle,,Lehigh,REG (Non-Conf),W 65-62,*,31,2,6,.333,1,4,.250,1,2,.500,.417,1,1,1.000,0,2,2,2,4,0,5,1,6,3.2,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
8,8,8,2024-12-01,La Salle,,Temple,REG (Non-Conf),L 68-73,*,39,3,11,.273,0,3,.000,3,8,.375,.273,2,2,1.000,2,1,3,3,2,2,1,2,8,6.9,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
9,9,9,2024-12-03,La Salle,@,Loyola Chicago,REG (Conf),W 55-45,*,26,1,5,.200,1,3,.333,0,2,.000,.300,2,2,1.000,1,1,2,5,2,0,1,2,5,6.6,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
10,10,10,2024-12-06,La Salle,N,Pennsylvania,REG (Non-Conf),L 63-74,*,29,2,11,.182,0,6,.000,2,5,.400,.182,2,2,1.000,0,2,2,3,2,0,0,2,6,3.0,Joan Quinn,https://www.sports-reference.com/cbb/players/joan-quinn-1.html,la-salle,2024-25
