ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,38,1,2024-11-04,Louisiana State,,Eastern Kentucky,REG (Non-Conf),W 95-44,,9,0,2,.000,0,0,0,2,.000,.000,0,2,.000,0,5,5,0,0,0,0,1,0,-1.1,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
2,39,2,2024-11-08,Louisiana State,,Northwestern State,REG (Non-Conf),W 95-36,,18,2,5,.400,0,0,2,5,.400,.400,3,5,.600,2,4,6,0,1,3,2,3,7,6.0,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
3,40,3,2024-11-12,Louisiana State,,Charleston Southern,REG (Non-Conf),W 117-44,,13,4,5,.800,0,0,4,5,.800,.800,1,2,.500,1,5,6,0,0,1,2,4,9,6.0,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
4,41,4,2024-11-15,Louisiana State,,Murray State,REG (Non-Conf),W 74-60,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
5,42,5,2024-11-18,Louisiana State,,Troy,REG (Non-Conf),W 98-59,,11,0,3,.000,0,0,0,3,.000,.000,3,6,.500,2,6,8,0,0,0,0,1,3,2.5,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
6,43,6,2024-11-20,Louisiana State,,Tulane,REG (Non-Conf),W 85-74,,2,0,1,.000,0,0,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
7,44,9,2024-12-01,Louisiana State,,North Carolina Central,REG (Non-Conf),W 131-44,,12,0,5,.000,0,0,0,5,.000,.000,4,4,1.000,4,1,5,1,0,1,2,3,4,1.8,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
8,45,11,2024-12-08,Louisiana State,N,Grambling State,REG (Non-Conf),W 100-54,,13,3,3,1.000,0,0,3,3,1.000,1.000,1,1,1.000,3,1,4,0,1,1,1,4,7,7.6,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
9,46,12,2024-12-15,Louisiana State,,Louisiana,REG (Non-Conf),W 85-57,,5,1,2,.500,0,0,1,2,.500,.500,0,1,.000,0,1,1,0,0,0,0,1,2,0.5,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
10,47,13,2024-12-17,Louisiana State,N,Seton Hall,REG (Non-Conf),W 91-64,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Aalyah Del Rosario,https://www.sports-reference.com/cbb/players/aalyah-del-rosario-1.html,louisiana-state,2024-25
