ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-06,Maryland Eastern Shore,@,VCU,REG (Non-Conf),L 60-75,*,21,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,1,2,3,1,0,3,1,2,0.3,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
2,2,2,2024-11-09,Maryland Eastern Shore,,Bowie St.,REG (Non-Conf),W 65-57,*,16,2,3,.667,0,1,.000,2,2,1.000,.667,1,1,1.000,0,0,0,0,1,0,1,2,5,2.9,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
3,3,3,2024-11-13,Maryland Eastern Shore,,Buffalo,REG (Non-Conf),L 46-56,*,22,0,5,.000,0,2,.000,0,3,.000,.000,0,0,,0,5,5,0,0,0,1,3,0,-4.2,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
4,4,4,2024-11-16,Maryland Eastern Shore,,VU Lynchburg,REG (Non-Conf),W 75-32,,13,2,6,.333,0,1,.000,2,5,.400,.333,0,0,,0,1,1,0,0,0,0,1,4,0.5,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
5,5,5,2024-11-21,Maryland Eastern Shore,,Cheyney,REG (Non-Conf),W 67-42,,26,1,2,.500,1,1,1.000,0,1,.000,.750,2,2,1.000,1,1,2,1,1,0,0,2,5,5.9,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
6,6,6,2024-11-25,Maryland Eastern Shore,N,Dayton,REG (Non-Conf),W 62-56,,18,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,2,2,4,0,0,4,0,2,0.4,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
7,7,7,2024-11-26,Maryland Eastern Shore,N,Illinois,REG (Non-Conf),L 55-75,,19,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,2,2,2,0,0,0,3,0,0.1,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
8,8,8,2024-11-29,Maryland Eastern Shore,N,Georgia Southern,REG (Non-Conf),L 47-58,,26,0,2,.000,0,1,.000,0,1,.000,.000,1,2,.500,0,0,0,1,0,0,4,1,1,-4.5,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
9,9,9,2024-11-30,Maryland Eastern Shore,N,Marquette,REG (Non-Conf),L 48-74,,23,3,6,.500,0,0,,3,6,.500,.500,0,0,,0,2,2,1,0,0,1,0,6,3.3,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
10,10,10,2024-12-07,Maryland Eastern Shore,,Arizona State,REG (Non-Conf),L 57-64,,24,1,6,.167,1,3,.333,0,3,.000,.250,0,0,,0,2,2,3,0,0,3,2,3,-1.9,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
11,11,11,2024-12-14,Maryland Eastern Shore,@,George Mason,REG (Non-Conf),L 40-61,,30,1,5,.200,0,1,.000,1,4,.250,.200,0,0,,0,2,2,3,1,0,1,0,2,1.6,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
12,12,12,2024-12-17,Maryland Eastern Shore,@,Virginia,REG (Non-Conf),L 64-80,,23,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,1,1,1,1,0,1,3,0,-3.0,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
13,13,13,2024-12-20,Maryland Eastern Shore,,Mississippi State,REG (Non-Conf),L 52-70,,34,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,3,3,0,0,0,2,1,4,-0.9,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
14,14,14,2024-12-28,Maryland Eastern Shore,@,Georgetown,REG (Non-Conf),L 68-78,,9,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,1,0,0,1,0,3,2.4,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
15,15,15,2025-01-02,Maryland Eastern Shore,,Lincoln (PA),REG (Non-Conf),W 55-39,,27,2,5,.400,0,0,,2,5,.400,.400,0,0,,2,1,3,1,0,0,4,1,4,-0.7,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
16,16,16,2025-01-04,Maryland Eastern Shore,@,Norfolk State,REG (Conf),L 54-72,,20,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,0,1,1,0,3,0,1,2,6,6.6,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
17,17,17,2025-01-11,Maryland Eastern Shore,@,North Carolina Central,REG (Conf),L 86-92 (2OT),*,25,4,7,.571,1,2,.500,3,5,.600,.643,2,2,1.000,0,1,1,1,2,0,3,5,11,5.7,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
18,18,18,2025-01-13,Maryland Eastern Shore,@,South Carolina State,REG (Conf),W 63-55,*,29,3,5,.600,3,5,.600,0,0,,.900,0,0,,0,2,2,5,1,0,1,1,9,10.4,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
19,19,19,2025-01-25,Maryland Eastern Shore,,Delaware State,REG (Conf),W 66-46,*,29,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,1,4,5,4,1,0,4,4,3,2.1,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
20,20,20,2025-02-01,Maryland Eastern Shore,@,Morgan State,REG (Conf),W 77-59,*,11,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,0,0,0,2,2,0,-2.5,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
21,21,21,2025-02-03,Maryland Eastern Shore,,Coppin State,REG (Conf),L 61-66,*,31,2,5,.400,0,3,.000,2,2,1.000,.400,1,2,.500,2,3,5,1,0,0,0,3,5,3.7,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
22,22,22,2025-02-10,Maryland Eastern Shore,,Howard,REG (Conf),L 56-66,*,27,2,7,.286,1,3,.333,1,4,.250,.357,0,0,,0,5,5,1,0,0,1,2,5,1.3,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
23,23,23,2025-02-15,Maryland Eastern Shore,,Norfolk State,REG (Conf),L 48-70,*,29,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,1,4,5,2,1,0,0,1,2,3.5,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
24,24,24,2025-02-17,Maryland Eastern Shore,@,Howard,REG (Conf),L 59-72,,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
25,25,25,2025-02-24,Maryland Eastern Shore,,South Carolina State,REG (Conf),W 70-29,,10,1,2,.500,1,2,.500,0,0,,.750,1,2,.500,2,0,2,1,1,0,3,2,4,1.9,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
26,26,26,2025-02-26,Maryland Eastern Shore,,North Carolina Central,REG (Conf),W 67-57,,16,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,0,1,2,1,0,1,1,0,0.3,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
27,27,27,2025-03-01,Maryland Eastern Shore,,Morgan State,REG (Conf),W 70-59,,16,0,5,.000,0,2,.000,0,3,.000,.000,0,0,,0,1,1,1,2,0,1,1,0,-1.9,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
28,28,28,2025-03-03,Maryland Eastern Shore,@,Coppin State,REG (Conf),W 62-56,,9,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
29,29,29,2025-03-06,Maryland Eastern Shore,@,Delaware State,REG (Conf),W 69-35,,22,2,9,.222,0,1,.000,2,8,.250,.222,0,0,,2,1,3,3,1,0,2,0,4,1.3,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
30,30,30,2025-03-13,Maryland Eastern Shore,N,Morgan State,CTOURN,W 74-67,,12,0,1,.000,0,0,,0,1,.000,.000,3,4,.750,0,1,1,1,1,0,3,0,3,0.9,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
31,31,31,2025-03-14,Maryland Eastern Shore,N,Howard,CTOURN,L 59-67,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,Aleah James,https://www.sports-reference.com/cbb/players/aleah-james-2.html,maryland-eastern-shore,2024-25
