ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,83,1,2024-11-04,Massachusetts,@,Harvard,REG (Non-Conf),L 58-71,*,26,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,1,5,6,2,2,0,7,2,4,-0.2,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
2,84,2,2024-11-07,Massachusetts,,New Hampshire,REG (Non-Conf),L 45-48,*,23,3,12,.250,1,6,.167,2,6,.333,.292,0,0,,1,3,4,1,1,0,2,2,7,0.3,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
3,85,3,2024-11-10,Massachusetts,,Central Connecticut State,REG (Non-Conf),W 66-60,*,22,3,8,.375,0,2,.000,3,6,.500,.375,0,0,,2,1,3,2,0,0,0,4,6,3.1,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
4,86,4,2024-11-15,Massachusetts,,Monmouth,REG (Non-Conf),W 76-53,*,33,3,9,.333,1,2,.500,2,7,.286,.389,3,5,.600,3,5,8,3,2,0,1,3,10,9.6,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
5,87,5,2024-11-20,Massachusetts,,Holy Cross,REG (Non-Conf),L 70-75,*,31,4,8,.500,0,2,.000,4,6,.667,.500,6,6,1.000,3,7,10,2,2,0,2,4,14,14.0,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
6,88,6,2024-11-23,Massachusetts,,Army,REG (Non-Conf),L 50-56,*,29,1,8,.125,0,3,.000,1,5,.200,.125,2,2,1.000,2,4,6,1,1,0,0,4,4,1.5,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
7,89,7,2024-12-01,Massachusetts,@,Siena,REG (Non-Conf),L 53-57,*,32,2,7,.286,1,4,.250,1,3,.333,.357,0,0,,5,4,9,2,2,1,2,3,5,6.5,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
8,90,8,2024-12-05,Massachusetts,,Northeastern,REG (Non-Conf),W 81-50,*,20,2,6,.333,1,3,.333,1,3,.333,.417,0,0,,0,4,4,1,1,0,2,2,5,1.7,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
9,91,9,2024-12-08,Massachusetts,@,Dartmouth,REG (Non-Conf),W 67-56,*,24,3,6,.500,1,2,.500,2,4,.500,.583,2,2,1.000,2,4,6,1,2,1,4,3,9,6.8,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
10,92,10,2024-12-11,Massachusetts,@,Boston College,REG (Non-Conf),L 57-62,*,26,4,11,.364,3,8,.375,1,3,.333,.500,1,1,1.000,1,1,2,0,1,0,0,4,12,6.3,Stefanie Kulesza,https://www.sports-reference.com/cbb/players/stefanie-kulesza-1.html,massachusetts,2024-25
