ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,51,1,2024-11-04,Merrimack,@,Bryant,REG (Non-Conf),L 50-65,*,25,0,5,.000,0,0,,0,5,.000,.000,3,4,.750,6,0,6,1,1,0,2,2,3,2.2,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
2,52,2,2024-11-08,Merrimack,@,Pennsylvania,REG (Non-Conf),L 52-64,*,27,2,5,.400,1,1,1.000,1,4,.250,.500,2,2,1.000,1,5,6,1,2,0,1,4,7,6.6,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
3,53,3,2024-11-11,Merrimack,,New Hampshire,REG (Non-Conf),W 59-49,*,25,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,3,3,2,0,0,1,2,2,0.4,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
4,54,4,2024-11-16,Merrimack,,Bucknell,REG (Non-Conf),W 62-59,*,23,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,3,4,2,1,0,1,1,2,3.6,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
5,55,5,2024-11-19,Merrimack,@,Yale,REG (Non-Conf),W 50-45,*,30,1,6,.167,0,2,.000,1,4,.250,.167,3,4,.750,1,1,2,0,1,0,1,1,5,1.4,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
6,56,6,2024-11-23,Merrimack,,NJIT,REG (Non-Conf),W 87-76,*,24,2,7,.286,0,3,.000,2,4,.500,.286,4,5,.800,6,1,7,1,1,0,1,1,8,8.3,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
7,57,7,2024-12-05,Merrimack,@,South Florida,REG (Non-Conf),L 43-62,*,28,1,7,.143,0,1,.000,1,6,.167,.143,6,6,1.000,0,1,1,1,2,1,2,2,8,4.4,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
8,58,8,2024-12-14,Merrimack,@,Providence,REG (Non-Conf),L 44-62,*,17,0,5,.000,0,0,,0,5,.000,.000,2,2,1.000,2,1,3,0,3,1,2,1,2,1.5,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
9,59,9,2024-12-16,Merrimack,@,Albany (NY),REG (Non-Conf),L 64-79,*,18,1,5,.200,0,3,.000,1,2,.500,.200,2,2,1.000,1,1,2,1,0,0,1,0,4,1.6,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
10,60,10,2024-12-19,Merrimack,,Canisius,REG (Conf),W 62-47,*,10,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,1,1,0,0,0,1,1,0,-3.2,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
11,61,11,2024-12-21,Merrimack,,Niagara,REG (Conf),W 71-56,*,28,3,5,.600,1,1,1.000,2,4,.500,.700,3,4,.750,1,4,5,0,1,2,2,2,10,8.8,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
12,62,12,2025-01-04,Merrimack,@,Fairfield,REG (Conf),L 48-72,*,28,4,9,.444,2,3,.667,2,6,.333,.556,0,0,,0,2,2,0,0,0,3,0,10,2.9,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
13,63,13,2025-01-09,Merrimack,,Sacred Heart,REG (Conf),W 64-53,*,32,3,9,.333,0,2,.000,3,7,.429,.333,0,0,,1,0,1,3,0,0,3,3,6,-0.5,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
14,64,14,2025-01-11,Merrimack,@,Manhattan,REG (Conf),L 61-77,*,24,3,6,.500,0,2,.000,3,4,.750,.500,2,2,1.000,1,0,1,2,1,0,2,1,8,5.7,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
15,65,15,2025-01-16,Merrimack,,Quinnipiac,REG (Conf),L 67-72,*,33,10,15,.667,1,3,.333,9,12,.750,.700,3,3,1.000,1,2,3,1,0,0,5,0,24,14.5,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
16,66,16,2025-01-18,Merrimack,@,Siena,REG (Conf),L 57-79,*,13,0,0,,0,0,,0,0,,,1,2,.500,1,0,1,0,0,0,0,0,1,1.3,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
17,67,17,2025-01-23,Merrimack,,Saint Peter's,REG (Conf),W 64-49,*,25,2,4,.500,1,2,.500,1,2,.500,.625,2,2,1.000,3,5,8,2,1,1,2,0,7,9.7,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
18,68,18,2025-01-25,Merrimack,,Fairfield,REG (Conf),L 55-74,*,20,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,0,0,0,0,1,5,1,2,-5.1,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
19,69,19,2025-01-30,Merrimack,@,Mount St. Mary's,REG (Conf),L 49-75,*,26,1,6,.167,1,3,.333,0,3,.000,.250,3,4,.750,0,2,2,0,1,0,2,3,6,0.2,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
20,70,20,2025-02-01,Merrimack,,Rider,REG (Conf),L 63-65,*,23,3,5,.600,1,1,1.000,2,4,.500,.700,0,0,,1,1,2,0,0,0,5,2,7,-0.1,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
21,71,21,2025-02-06,Merrimack,@,Niagara,REG (Conf),W 66-52,*,15,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,1,1,2,1,0,1,3,4,6,3.2,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
22,72,22,2025-02-08,Merrimack,@,Canisius,REG (Conf),L 62-68,*,30,6,10,.600,0,3,.000,6,7,.857,.600,2,2,1.000,2,1,3,0,2,1,1,2,14,12.0,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
23,73,23,2025-02-13,Merrimack,,Manhattan,REG (Conf),W 71-69,*,34,6,9,.667,2,3,.667,4,6,.667,.778,2,2,1.000,1,0,1,3,0,0,0,2,16,14.1,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
24,74,24,2025-02-15,Merrimack,@,Marist,REG (Conf),W 55-48,*,37,3,6,.500,0,1,.000,3,5,.600,.500,1,2,.500,0,4,4,0,2,1,3,2,7,3.7,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
25,75,25,2025-02-20,Merrimack,@,Sacred Heart,REG (Conf),L 48-74,*,15,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,0,0,0,3,0,2,-1.3,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
26,76,26,2025-02-22,Merrimack,,Iona,REG (Conf),W 81-36,*,32,10,17,.588,5,7,.714,5,10,.500,.735,3,3,1.000,2,3,5,2,0,0,0,0,28,23.8,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
27,77,27,2025-02-27,Merrimack,@,Rider,REG (Conf),L 61-64,*,33,5,10,.500,0,1,.000,5,9,.556,.500,0,0,,1,1,2,1,1,0,0,2,10,6.9,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
28,78,28,2025-03-01,Merrimack,@,Quinnipiac,REG (Conf),L 44-76,*,10,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,2,2,0,0,0,0,2,4,1.8,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
29,79,29,2025-03-06,Merrimack,,Marist,REG (Conf),W 55-47,*,34,5,9,.556,1,4,.250,4,5,.800,.611,3,4,.750,1,1,2,0,1,0,1,1,14,9.9,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
30,80,30,2025-03-13,Merrimack,N,Siena,CTOURN,W 79-72,*,37,2,9,.222,1,3,.333,1,6,.167,.278,9,12,.750,3,8,11,2,1,1,1,2,14,13.1,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
31,81,31,2025-03-14,Merrimack,N,Quinnipiac,CTOURN,L 51-65,*,37,2,11,.182,2,3,.667,0,8,.000,.273,3,4,.750,4,6,10,1,0,0,3,1,9,3.6,Rose Caso,https://www.sports-reference.com/cbb/players/rose-caso-1.html,merrimack,2024-25
