ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-04,Milwaukee,@,St. Thomas,REG (Non-Conf),L 81-84 (OT),,15,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,0,1,1,0,0,0,0,2,3,1.1,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
2,2,2,2024-11-06,Milwaukee,,Carroll (WI),REG (Non-Conf),W 74-49,,15,2,4,.500,2,2,1.000,0,2,.000,.750,0,0,,0,0,0,0,1,0,0,0,6,5.0,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
3,3,3,2024-11-09,Milwaukee,,Butler,REG (Non-Conf),L 70-79 (OT),,11,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,1,3,0,-1.9,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
4,4,4,2024-11-14,Milwaukee,,Valparaiso,REG (Non-Conf),W 90-79,,10,1,1,1.000,0,0,,1,1,1.000,1.000,3,3,1.000,0,0,0,0,0,0,0,2,5,3.9,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
5,5,5,2024-11-17,Milwaukee,@,Wisconsin,REG (Non-Conf),L 45-82,,13,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,1,1,0,0,0.3,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
6,6,6,2024-11-20,Milwaukee,@,Kansas State,REG (Non-Conf),L 46-111,,16,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,2,0,0,1,2,3.6,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
7,7,7,2024-11-24,Milwaukee,,Northern Illinois,REG (Non-Conf),L 60-67,,14,1,6,.167,0,0,,1,6,.167,.167,0,0,,0,1,1,0,0,0,0,2,2,-2.3,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
8,8,8,2024-11-27,Milwaukee,N,American,REG (Non-Conf),W 74-60,,11,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,1,0,1,3,0,2,-1.0,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
9,9,9,2024-11-28,Milwaukee,N,Air Force,REG (Non-Conf),L 40-56,,16,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,1,1,0,1,0,0,0,4,4.0,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
10,10,10,2024-12-04,Milwaukee,@,Youngstown State,REG (Conf),L 50-66,,13,0,1,.000,0,1,.000,0,0,,.000,3,4,.750,0,2,2,0,0,0,1,3,3,0.3,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
11,11,11,2024-12-07,Milwaukee,@,Robert Morris,REG (Conf),L 55-56,,10,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
12,12,12,2024-12-11,Milwaukee,,Green Bay,REG (Conf),L 53-86,,13,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,1,0,0,3,1,2,-1.0,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
13,13,13,2024-12-15,Milwaukee,@,Marquette,REG (Non-Conf),L 51-69,,10,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,1,0,0,-0.1,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
14,14,14,2024-12-22,Milwaukee,@,Central Michigan,REG (Non-Conf),L 50-54,,6,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
15,15,15,2024-12-29,Milwaukee,@,Cleveland State,REG (Conf),L 68-73 (OT),,4,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
16,16,16,2025-01-02,Milwaukee,,Wright State,REG (Conf),W 75-50,,11,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,2,2,1,0,0,0,0,2,0.9,Kallie Peppler,https://www.sports-reference.com/cbb/players/kallie-peppler-1.html,milwaukee,2024-25
