ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,28,1,2024-11-04,North Alabama,@,UT Martin,REG (Non-Conf),W 66-63,,20,2,6,.333,0,0,2,6,.333,.333,2,4,.500,5,4,9,1,1,0,3,4,6,3.6,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
2,29,2,2024-11-10,North Alabama,@,Tennessee Tech,REG (Non-Conf),L 64-73,,8,0,3,.000,0,0,0,3,.000,.000,0,0,,0,0,0,1,0,0,1,2,0,-3.2,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
3,30,3,2024-11-15,North Alabama,,South Alabama,REG (Non-Conf),W 71-62,,17,3,4,.750,0,0,3,4,.750,.750,0,0,,3,5,8,4,0,1,1,2,6,9.7,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
4,31,4,2024-11-17,North Alabama,@,Kansas,REG (Non-Conf),L 64-81,,22,5,6,.833,0,0,5,6,.833,.833,1,1,1.000,1,3,4,3,1,2,1,3,11,12.7,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
5,32,5,2024-11-19,North Alabama,@,Nebraska,REG (Non-Conf),L 48-85,,18,2,5,.400,0,0,2,5,.400,.400,0,0,,0,0,0,0,0,1,0,3,4,0.8,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
6,33,6,2024-11-25,North Alabama,,Cumberland (TN),REG (Non-Conf),W 87-48,*,28,2,3,.667,0,0,2,3,.667,.667,6,7,.857,6,6,12,5,2,1,2,2,10,17.7,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
7,34,7,2024-12-01,North Alabama,@,Arkansas–Pine Bluff,REG (Non-Conf),W 62-48,*,28,1,4,.250,0,0,1,4,.250,.250,0,0,,1,4,5,1,1,3,0,2,2,4.5,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
8,35,8,2024-12-05,North Alabama,,Samford,REG (Non-Conf),L 61-67 (OT),*,38,1,6,.167,0,0,1,6,.167,.167,2,2,1.000,3,8,11,5,0,1,2,3,4,5.7,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
9,36,9,2024-12-17,North Alabama,,Alabama A&M,REG (Non-Conf),L 77-80,*,19,2,4,.500,0,0,2,4,.500,.500,2,2,1.000,1,4,5,2,0,0,3,5,6,2.3,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
10,37,10,2024-12-21,North Alabama,@,Denver,REG (Non-Conf),L 70-78,*,16,3,6,.500,0,0,3,6,.500,.500,0,0,,2,2,4,0,0,1,2,3,6,2.5,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
11,38,11,2024-12-28,North Alabama,,Bethel (TN),REG (Non-Conf),W 84-54,,18,3,5,.600,0,0,3,5,.600,.600,1,2,.500,4,5,9,2,0,4,2,1,7,10.4,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
12,39,12,2025-01-02,North Alabama,@,Bellarmine,REG (Conf),W 90-89 (OT),,8,1,1,1.000,0,0,1,1,1.000,1.000,0,0,,0,2,2,0,0,3,2,0,2,2.4,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
13,40,13,2025-01-04,North Alabama,,Jacksonville,REG (Conf),W 73-57,*,25,5,9,.556,0,0,5,9,.556,.556,1,1,1.000,5,9,14,1,1,2,3,3,11,11.8,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
14,41,14,2025-01-08,North Alabama,,Austin Peay,REG (Conf),L 57-75,*,28,5,8,.625,0,0,5,8,.625,.625,3,4,.750,3,5,8,1,0,2,3,1,13,11.3,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
15,42,15,2025-01-11,North Alabama,@,Eastern Kentucky,REG (Conf),L 58-94,*,21,2,5,.400,0,0,2,5,.400,.400,0,0,,2,2,4,1,0,0,0,1,4,3.6,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
16,43,16,2025-01-16,North Alabama,,Stetson,REG (Conf),W 75-57,*,33,5,11,.455,0,0,5,11,.455,.455,0,2,.000,7,10,17,2,0,2,0,2,10,13.4,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
17,44,17,2025-01-18,North Alabama,,North Florida,REG (Conf),W 65-54,*,31,3,6,.500,0,0,3,6,.500,.500,4,6,.667,3,8,11,3,2,1,3,3,10,11.3,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
18,45,19,2025-01-25,North Alabama,@,Lipscomb,REG (Conf),L 76-85,,11,4,4,1.000,0,0,4,4,1.000,1.000,0,0,,1,4,5,0,0,1,2,1,8,7.0,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
19,46,20,2025-01-30,North Alabama,,Queens (NC),REG (Conf),W 87-62,*,21,4,6,.667,0,0,4,6,.667,.667,2,3,.667,1,4,5,2,2,1,2,4,10,9.4,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
20,47,21,2025-02-01,North Alabama,,West Georgia,REG (Conf),W 82-73,*,19,3,5,.600,0,0,3,5,.600,.600,2,2,1.000,2,2,4,2,0,0,1,4,8,6.5,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
21,48,22,2025-02-06,North Alabama,@,North Florida,REG (Conf),W 73-68,*,29,4,7,.571,0,0,4,7,.571,.571,1,2,.500,4,8,12,2,2,4,1,2,9,14.9,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
22,49,23,2025-02-08,North Alabama,@,Jacksonville,REG (Conf),L 61-78,*,24,6,10,.600,0,0,6,10,.600,.600,2,2,1.000,2,3,5,0,0,1,3,2,14,8.6,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
23,50,24,2025-02-12,North Alabama,@,Central Arkansas,REG (Conf),L 52-73,*,25,5,10,.500,0,0,5,10,.500,.500,0,0,,1,4,5,2,0,2,1,0,10,8.7,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
24,51,25,2025-02-15,North Alabama,@,West Georgia,REG (Conf),L 53-62,*,23,3,11,.273,0,0,3,11,.273,.273,0,0,,7,8,15,3,0,0,2,4,6,5.3,India Howard,https://www.sports-reference.com/cbb/players/india-howard-1.html,north-alabama,2024-25
