ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,123,1,2024-11-05,Northern Iowa,,Wis.-La Crosse,REG (Non-Conf),W 99-56,*,19,4,8,.500,4,8,.500,0,0,,.750,0,0,,0,1,1,1,1,0,1,1,12,8.6,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
2,124,2,2024-11-09,Northern Iowa,@,Green Bay,REG (Non-Conf),W 71-56,*,32,1,3,.333,1,3,.333,0,0,,.500,0,0,,0,3,3,0,0,0,3,1,3,-1.2,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
3,125,3,2024-11-16,Northern Iowa,,Ball State,REG (Non-Conf),L 70-76,*,35,4,9,.444,3,8,.375,1,1,1.000,.611,0,0,,0,1,1,2,1,0,1,4,11,6.4,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
4,126,4,2024-11-20,Northern Iowa,,Iowa State,REG (Non-Conf),W 87-75,*,39,5,9,.556,5,7,.714,0,2,.000,.833,6,6,1.000,0,6,6,3,1,0,0,3,21,20.4,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
5,127,5,2024-11-28,Northern Iowa,N,Auburn,REG (Non-Conf),L 64-65,*,38,4,10,.400,3,7,.429,1,3,.333,.550,1,1,1.000,0,4,4,1,2,0,2,1,12,8.1,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
6,128,6,2024-11-29,Northern Iowa,N,Kansas,REG (Non-Conf),L 73-76,*,36,5,10,.500,5,7,.714,0,3,.000,.750,5,5,1.000,0,4,4,2,0,0,4,5,20,11.6,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
7,129,7,2024-11-30,Northern Iowa,N,Pittsburgh,REG (Non-Conf),W 90-74,*,34,10,15,.667,10,15,.667,0,0,,1.000,4,5,.800,0,7,7,2,1,0,1,2,34,29.8,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
8,130,8,2024-12-07,Northern Iowa,,Creighton,REG (Non-Conf),L 71-75,*,28,2,4,.500,2,4,.500,0,0,,.750,4,4,1.000,1,2,3,1,1,0,1,3,10,8.8,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
9,131,9,2024-12-10,Northern Iowa,,South Dakota,REG (Non-Conf),W 78-59,*,26,3,6,.500,2,4,.500,1,2,.500,.667,1,1,1.000,0,3,3,2,0,0,2,0,9,6.3,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
10,132,10,2024-12-14,Northern Iowa,@,South Dakota State,REG (Non-Conf),L 53-68,*,38,5,12,.417,1,6,.167,4,6,.667,.458,1,2,.500,0,2,2,1,0,0,1,2,12,4.7,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
11,133,11,2024-12-20,Northern Iowa,@,Iowa,REG (Non-Conf),L 86-92,*,39,7,11,.636,5,7,.714,2,4,.500,.864,1,2,.500,0,4,4,0,0,0,1,1,20,14.5,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
12,134,12,2024-12-29,Northern Iowa,@,Indiana State,REG (Conf),W 75-65,*,39,6,11,.545,3,6,.500,3,5,.600,.682,5,6,.833,0,5,5,0,2,0,0,1,20,17.4,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
13,135,13,2025-01-02,Northern Iowa,,Valparaiso,REG (Conf),W 93-70,*,28,5,6,.833,3,4,.750,2,2,1.000,1.083,4,4,1.000,0,7,7,1,0,0,1,1,17,16.2,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
14,136,14,2025-01-04,Northern Iowa,,Illinois–Chicago,REG (Conf),W 75-64,*,31,2,6,.333,0,3,.000,2,3,.667,.333,2,2,1.000,0,3,3,1,1,0,1,1,6,3.8,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
15,137,15,2025-01-10,Northern Iowa,@,Illinois State,REG (Conf),L 66-79,*,35,1,6,.167,0,2,.000,1,4,.250,.167,2,2,1.000,0,4,4,0,2,0,0,3,4,2.2,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
16,138,16,2025-01-12,Northern Iowa,@,Bradley,REG (Conf),W 67-44,*,37,8,12,.667,5,9,.556,3,3,1.000,.875,0,0,,0,8,8,1,1,0,2,1,21,17.5,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
17,139,17,2025-01-16,Northern Iowa,,Murray State,REG (Conf),L 89-95,*,33,6,11,.545,4,8,.500,2,3,.667,.727,2,2,1.000,0,5,5,2,1,0,0,1,18,16.2,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
18,140,18,2025-01-18,Northern Iowa,,Belmont,REG (Conf),L 60-74,*,28,1,9,.111,1,7,.143,0,2,.000,.167,2,2,1.000,0,5,5,0,0,0,0,1,5,0.2,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
19,141,19,2025-01-24,Northern Iowa,@,Southern Illinois,REG (Conf),W 84-59,*,27,2,7,.286,1,5,.200,1,2,.500,.357,2,2,1.000,1,6,7,2,1,0,0,1,7,7.4,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
20,142,20,2025-01-26,Northern Iowa,@,Missouri State,REG (Conf),L 45-81,*,34,4,13,.308,4,7,.571,0,6,.000,.462,0,0,,1,3,4,1,1,0,0,0,12,7.8,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
21,143,21,2025-02-01,Northern Iowa,@,Drake,REG (Conf),L 63-69,*,36,2,10,.200,1,5,.200,1,5,.200,.250,0,0,,0,3,3,1,1,0,0,2,5,0.6,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
22,144,22,2025-02-07,Northern Iowa,,Bradley,REG (Conf),W 69-51,*,29,1,7,.143,0,3,.000,1,4,.250,.143,2,4,.500,1,2,3,1,2,0,1,0,4,1.7,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
23,145,23,2025-02-09,Northern Iowa,,Illinois State,REG (Conf),W 72-52,*,35,3,6,.500,0,2,.000,3,4,.750,.500,4,4,1.000,0,7,7,0,1,0,0,1,10,9.7,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
24,146,24,2025-02-13,Northern Iowa,@,Belmont,REG (Conf),W 73-61,*,34,3,9,.333,2,5,.400,1,4,.250,.444,5,7,.714,0,4,4,2,2,1,2,0,13,10.4,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
25,147,25,2025-02-15,Northern Iowa,@,Murray State,REG (Conf),L 91-96,*,35,4,7,.571,2,4,.500,2,3,.667,.714,1,1,1.000,0,5,5,0,3,0,0,3,11,11.0,Kayba Laube,https://www.sports-reference.com/cbb/players/kayba-laube-1.html,northern-iowa,2024-25
