ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-05,Northwestern State,,Champion Christian,REG (Non-Conf),W 84-33,,12,0,1,.000,0,0,,0,1,.000,.000,0,0,0,3,3,2,0,0,2,0,0,-0.4,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
2,2,2,2024-11-08,Northwestern State,@,Louisiana State,REG (Non-Conf),L 36-95,,6,0,3,.000,0,3,.000,0,0,,.000,0,0,0,0,0,0,0,0,2,2,0,-4.9,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
3,3,3,2024-11-12,Northwestern State,,Arkansas Baptist,REG (Non-Conf),W 98-27,,8,1,2,.500,1,2,.500,0,0,,.750,0,0,0,0,0,3,3,0,0,0,3,7.1,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
4,4,5,2024-11-17,Northwestern State,@,Texas A&M,REG (Non-Conf),L 54-75,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
5,5,7,2024-11-26,Northwestern State,,Southern–New Orleans,REG (Non-Conf),W 80-45,,7,0,0,,0,0,,0,0,,,0,0,0,2,2,0,0,0,3,0,0,-2.4,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
6,6,10,2024-12-17,Northwestern State,@,South Florida,REG (Non-Conf),L 36-71,,4,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
7,7,15,2025-01-16,Northwestern State,,New Orleans,REG (Conf),W 83-66,,4,0,0,,0,0,,0,0,,,0,0,0,0,0,1,1,0,0,0,0,1.7,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
8,8,22,2025-02-08,Northwestern State,@,McNeese State,REG (Conf),W 80-56,,3,0,2,.000,0,1,.000,0,1,.000,.000,0,0,0,1,1,1,0,0,0,0,0,-0.4,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
9,9,25,2025-02-20,Northwestern State,@,Southeastern Louisiana,REG (Conf),L 58-65,,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
10,10,28,2025-03-01,Northwestern State,,Houston Christian,REG (Conf),W 71-53,,5,0,2,.000,0,1,.000,0,1,.000,.000,0,0,1,0,1,0,0,0,0,0,0,-0.7,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
11,11,29,2025-03-05,Northwestern State,,Texas A&M–Commerce,REG (Conf),W 76-56,,2,0,1,.000,0,1,.000,0,0,,.000,0,0,1,0,1,0,0,0,0,0,0,0.0,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
12,12,30,2025-03-10,Northwestern State,N,Texas A&M–Corpus Christi,CTOURN,W 66-63,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,2,0,0,-2.0,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
13,13,32,2025-03-20,Northwestern State,@,Abilene Christian,WNIT,L 59-86,,3,0,4,.000,0,3,.000,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-2.8,Joceline Geara,https://www.sports-reference.com/cbb/players/joceline-geara-1.html,northwestern-state,2024-25
