ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,28,1,2024-11-05,Oakland,@,Michigan State,REG (Non-Conf),L 42-107,*,21,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,2,2,3,4,0,-1.9,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
2,29,2,2024-11-08,Oakland,,Cleary,REG (Non-Conf),W 95-51,*,21,3,9,.333,1,5,.200,2,4,.500,.389,2,3,.667,1,2,3,2,1,2,2,1,9,6.2,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
3,30,3,2024-11-12,Oakland,@,Army,REG (Non-Conf),L 54-58,*,39,0,8,.000,0,0,,0,8,.000,.000,2,2,1.000,0,6,6,3,1,0,1,4,2,-1.3,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
4,31,4,2024-11-17,Oakland,@,Michigan,REG (Non-Conf),L 42-88,*,29,3,7,.429,1,2,.500,2,5,.400,.500,0,0,,0,3,3,3,1,0,2,1,7,4.9,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
5,32,5,2024-11-21,Oakland,,St. Thomas,REG (Non-Conf),L 62-73,*,36,3,11,.273,0,2,.000,3,9,.333,.273,3,4,.750,0,1,1,3,1,0,0,1,9,5.1,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
6,33,6,2024-11-24,Oakland,@,Central Michigan,REG (Non-Conf),W 76-65,*,38,0,10,.000,0,2,.000,0,8,.000,.000,2,2,1.000,0,5,5,5,1,0,2,3,2,-2.2,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
7,34,7,2024-11-29,Oakland,N,Richmond,REG (Non-Conf),L 49-76,*,29,2,6,.333,0,1,.000,2,5,.400,.333,0,0,,0,5,5,5,0,0,3,1,4,2.2,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
8,35,8,2024-11-30,Oakland,N,Old Dominion,REG (Non-Conf),L 56-64,*,39,5,8,.625,1,4,.250,4,4,1.000,.688,0,0,,0,3,3,2,1,1,2,3,11,8.2,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
9,36,9,2024-12-06,Oakland,,Wright State,REG (Conf),W 84-70,*,27,3,5,.600,0,0,,3,5,.600,.600,2,2,1.000,1,3,4,2,2,0,1,0,8,9.7,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
10,37,10,2024-12-18,Oakland,@,Robert Morris,REG (Conf),W 55-53,*,37,3,7,.429,1,2,.500,2,5,.400,.500,1,3,.333,0,1,1,2,6,0,8,1,8,2.8,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
11,38,11,2024-12-22,Oakland,@,Indiana,REG (Non-Conf),L 55-90,*,32,6,11,.545,2,4,.500,4,7,.571,.636,2,3,.667,1,1,2,2,2,0,0,1,16,14.3,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
12,39,12,2024-12-29,Oakland,@,Northern Kentucky,REG (Conf),W 86-85 (OT),*,27,3,7,.429,1,3,.333,2,4,.500,.500,2,2,1.000,1,1,2,4,1,0,3,0,9,7.1,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
13,40,13,2025-01-03,Oakland,,Cleveland State,REG (Conf),W 71-68,*,23,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,0,1,1,2,0,0,0,0,2,0.6,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
14,41,14,2025-01-05,Oakland,,Purdue Fort Wayne,REG (Conf),L 37-77,*,35,2,7,.286,1,1,1.000,1,6,.167,.357,0,0,,1,1,2,4,1,0,2,1,5,3.3,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
15,42,15,2025-01-08,Oakland,,IU Indy,REG (Conf),L 73-79,*,32,4,12,.333,1,6,.167,3,6,.500,.375,0,0,,1,3,4,2,1,0,3,3,9,2.0,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
16,43,16,2025-01-11,Oakland,@,Detroit Mercy,REG (Conf),L 59-67,*,39,2,8,.250,0,2,.000,2,6,.333,.250,0,0,,0,0,0,4,1,1,2,5,4,-0.3,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
17,44,17,2025-01-16,Oakland,@,Milwaukee,REG (Conf),W 75-72 (OT),*,43,5,8,.625,2,3,.667,3,5,.600,.750,0,0,,0,3,3,0,0,1,4,2,12,5.2,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
18,45,18,2025-01-18,Oakland,@,Green Bay,REG (Conf),L 39-69,*,36,6,14,.429,3,7,.429,3,7,.429,.536,0,0,,0,3,3,2,2,0,2,1,15,9.5,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
19,46,19,2025-01-23,Oakland,,Robert Morris,REG (Conf),L 63-73,*,30,1,6,.167,0,2,.000,1,4,.250,.167,0,0,,0,1,1,3,1,0,0,3,2,0.4,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
20,47,20,2025-01-26,Oakland,@,Youngstown State,REG (Conf),L 56-73,*,33,4,7,.571,1,2,.500,3,5,.600,.643,3,3,1.000,0,1,1,3,0,0,1,2,12,9.3,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
21,48,21,2025-02-01,Oakland,,Detroit Mercy,REG (Conf),W 77-63,*,32,3,9,.333,1,3,.333,2,6,.333,.389,0,0,,0,0,0,2,1,0,3,3,7,0.1,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
22,49,22,2025-02-06,Oakland,@,Purdue Fort Wayne,REG (Conf),L 46-75,*,37,4,10,.400,0,0,,4,10,.400,.400,0,0,,0,1,1,1,0,0,0,1,8,3.2,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
23,50,23,2025-02-08,Oakland,@,Cleveland State,REG (Conf),L 58-79,*,39,6,13,.462,1,4,.250,5,9,.556,.500,0,0,,1,4,5,1,0,0,0,1,13,8.5,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
24,51,24,2025-02-13,Oakland,,Green Bay,REG (Conf),L 39-75,*,21,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,0,0,0,0,0,0,3,1,2,-5.2,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
25,52,25,2025-02-15,Oakland,,Milwaukee,REG (Conf),L 49-61,*,32,0,4,.000,0,0,,0,4,.000,.000,0,0,,1,3,4,1,3,0,3,1,0,-0.9,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
26,53,26,2025-02-19,Oakland,@,Wright State,REG (Conf),L 53-60,*,38,4,9,.444,0,0,,4,9,.444,.444,0,0,,2,3,5,3,3,1,3,0,8,8.4,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
27,54,27,2025-02-22,Oakland,,Youngstown State,REG (Conf),L 51-52,*,36,4,13,.308,1,3,.333,3,10,.300,.346,0,0,,2,4,6,2,2,2,1,1,9,7.5,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
28,55,28,2025-02-26,Oakland,@,IU Indy,REG (Conf),L 65-80,*,39,3,9,.333,0,2,.000,3,7,.429,.333,0,0,,0,0,0,2,1,0,4,1,6,-1.1,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
29,56,29,2025-03-01,Oakland,,Northern Kentucky,REG (Conf),L 58-61,*,38,6,10,.600,1,1,1.000,5,9,.556,.650,0,1,.000,1,4,5,4,1,0,3,2,13,9.9,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
30,57,30,2025-03-04,Oakland,@,IU Indy,CTOURN,W 62-56,*,40,3,7,.429,2,4,.500,1,3,.333,.571,0,0,,1,6,7,1,0,0,2,1,8,5.1,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
31,58,31,2025-03-06,Oakland,@,Green Bay,CTOURN,L 55-84,*,39,8,13,.615,2,3,.667,6,10,.600,.692,0,0,,1,2,3,1,2,1,2,0,18,14.8,Dani Grim,https://www.sports-reference.com/cbb/players/danielle-grim-1.html,oakland,2024-25
