ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2024-11-10,Ohio,,Bellarmine,REG (Non-Conf),L 50-82,,13,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
2,2,3,2024-11-16,Ohio,,George Washington,REG (Non-Conf),W 52-40,,17,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,2,3,5,0,1,0,0,0,2,3.6,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
3,3,4,2024-11-20,Ohio,,Ohio State,REG (Non-Conf),L 42-106,,23,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,0,0,1,0,0,0,3,2,-0.2,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
4,4,5,2024-11-24,Ohio,@,Wright State,REG (Non-Conf),L 57-68,,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,1,0,-1.5,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
5,5,6,2024-12-03,Ohio,,Ohio Christian,REG (Non-Conf),W 97-37,,25,4,5,.800,0,0,,4,5,.800,.800,0,0,,4,3,7,1,3,0,1,1,8,12.1,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
6,6,7,2024-12-08,Ohio,,Butler,REG (Non-Conf),L 60-69,,24,0,0,,0,0,,0,0,,,0,2,.000,2,1,3,2,1,0,3,1,0,-0.1,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
7,7,8,2024-12-15,Ohio,@,Saint Louis,REG (Non-Conf),L 52-96,,26,5,11,.455,0,3,.000,5,8,.625,.455,1,2,.500,1,2,3,1,1,1,2,2,11,5.8,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
8,8,9,2024-12-22,Ohio,@,Illinois–Chicago,REG (Non-Conf),L 45-91,,22,1,2,.500,0,1,.000,1,1,1.000,.500,2,3,.667,0,0,0,1,0,0,2,2,4,0.5,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
9,9,12,2025-01-04,Ohio,@,Northern Illinois,REG (Conf),W 71-55,,11,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,2,2,4,0,0,0,0,0,3,4.0,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
10,10,13,2025-01-08,Ohio,@,Western Michigan,REG (Conf),L 49-66,,10,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,2,2,0,0,0,0,0,2,2.3,Danni Scully,https://www.sports-reference.com/cbb/players/danni-scully-1.html,ohio,2024-25
