ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,42,1,2024-11-04,Penn State,,Bucknell,REG (Non-Conf),W 90-68,*,30,3,5,.600,1,1,1.000,2,4,.500,.700,0,0,,0,4,4,6,2,1,1,0,7,11.8,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
2,43,2,2024-11-07,Penn State,,Canisius,REG (Non-Conf),W 89-57,*,20,3,4,.750,0,1,.000,3,3,1.000,.750,2,2,1.000,0,1,1,4,4,0,0,1,8,13.1,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
3,44,3,2024-11-10,Penn State,,Duquesne,REG (Non-Conf),W 92-83,*,36,2,6,.333,0,3,.000,2,3,.667,.333,2,4,.500,0,2,2,8,2,2,4,2,6,6.6,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
4,45,4,2024-11-14,Penn State,,Niagara,REG (Non-Conf),W 101-45,*,20,3,6,.500,0,1,.000,3,5,.600,.500,1,2,.500,0,4,4,6,2,0,1,1,7,9.6,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
5,46,5,2024-11-17,Penn State,,Monmouth,REG (Non-Conf),W 100-55,*,22,3,7,.429,0,2,.000,3,5,.600,.429,1,2,.500,1,6,7,1,3,2,0,2,7,9.7,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
6,47,6,2024-11-21,Penn State,N,Marshall,REG (Non-Conf),W 74-59,*,32,4,11,.364,2,3,.667,2,8,.250,.455,2,4,.500,0,5,5,3,1,1,4,2,12,5.6,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
7,48,7,2024-11-23,Penn State,N,Georgia,REG (Non-Conf),W 67-47,*,36,7,11,.636,0,0,,7,11,.636,.636,0,0,,1,4,5,7,1,1,3,1,14,14.2,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
8,49,8,2024-11-27,Penn State,,Drexel,REG (Non-Conf),W 86-78 (OT),*,43,5,13,.385,0,1,.000,5,12,.417,.385,1,2,.500,0,7,7,8,1,3,3,1,11,10.9,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
9,50,9,2024-12-02,Penn State,,St. John's (NY),REG (Non-Conf),L 67-72,*,39,3,8,.375,0,2,.000,3,6,.500,.375,2,2,1.000,0,4,4,1,0,1,4,2,8,1.4,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
10,51,10,2024-12-07,Penn State,,Indiana,REG (Conf),L 60-75,*,35,2,10,.200,0,5,.000,2,5,.400,.200,0,0,,0,6,6,4,1,0,1,1,4,2.0,Alli Campbell,https://www.sports-reference.com/cbb/players/alli-campbell-1.html,penn-state,2024-25
