ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,20,3,2024-11-12,Pepperdine,@,UCLA,REG (Non-Conf),L 54-91,,3,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
2,21,6,2024-11-27,Pepperdine,@,Cal State Northridge,REG (Non-Conf),W 84-58,,2,0,0,,0,0,,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0.7,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
3,22,9,2024-12-15,Pepperdine,@,New Mexico,REG (Non-Conf),L 59-82,,5,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,2,0,1,1,0,0,0.4,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
4,23,11,2024-12-28,Pepperdine,@,Washington State,REG (Conf),L 46-67,,3,0,0,,0,0,,0,0,,,0,0,0,1,1,0,0,0,0,0,0,0.3,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
5,24,14,2025-01-04,Pepperdine,@,San Francisco,REG (Conf),L 60-76,,1,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
6,25,15,2025-01-16,Pepperdine,@,St. Mary's (CA),REG (Conf),L 41-56,,2,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
7,26,17,2025-01-23,Pepperdine,,Pacific,REG (Conf),L 43-58,,5,1,3,.333,1,3,.333,0,0,,.500,0,0,0,0,0,1,0,0,0,0,3,2.0,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
8,27,18,2025-01-25,Pepperdine,,Gonzaga,REG (Conf),L 53-81,,4,2,3,.667,0,0,,2,3,.667,.667,0,0,0,1,1,0,0,0,0,1,4,2.6,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
9,28,21,2025-02-01,Pepperdine,@,Portland,REG (Conf),L 52-76,,4,0,1,.000,0,0,,0,1,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-0.7,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
10,29,22,2025-02-06,Pepperdine,,San Francisco,REG (Conf),L 48-72,,4,0,0,,0,0,,0,0,,,0,0,0,1,1,1,0,0,0,0,0,1.0,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
11,30,23,2025-02-08,Pepperdine,@,Pacific,REG (Conf),L 41-68,,4,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,0,0,-1.0,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
12,31,29,2025-03-01,Pepperdine,,Oregon State,REG (Conf),L 46-73,,4,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,1,0,-1.1,Hailey Johnson,https://www.sports-reference.com/cbb/players/hailey-johnson-1.html,pepperdine,2024-25
