ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,60,1,2024-11-05,Pittsburgh,,Canisius,REG (Non-Conf),W 78-36,*,16,4,8,.500,0,1,.000,4,7,.571,.500,0,2,.000,0,2,2,1,5,1,4,1,8,5.8,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
2,61,2,2024-11-09,Pittsburgh,,Bucknell,REG (Non-Conf),W 64-61,*,24,3,8,.375,1,1,1.000,2,7,.286,.438,0,2,.000,1,1,2,1,4,0,0,4,7,5.9,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
3,62,3,2024-11-12,Pittsburgh,@,West Virginia,REG (Non-Conf),L 54-82,*,15,0,5,.000,0,3,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,2,1,0,-5.9,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
4,63,4,2024-11-17,Pittsburgh,@,Binghamton,REG (Non-Conf),W 61-56,*,12,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,1,0,4,2,2,-2.1,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
5,64,5,2024-11-20,Pittsburgh,,Delaware State,REG (Non-Conf),W 80-45,*,31,3,9,.333,2,7,.286,1,2,.500,.444,0,0,,0,2,2,3,3,0,1,2,8,6.8,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
6,65,6,2024-11-23,Pittsburgh,,Robert Morris,REG (Non-Conf),W 64-51,*,27,2,10,.200,1,5,.200,1,5,.200,.250,1,2,.500,0,3,3,3,2,0,1,3,6,2.2,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
7,66,7,2024-11-28,Pittsburgh,N,Kansas,REG (Non-Conf),L 53-59,*,16,2,7,.286,1,4,.250,1,3,.333,.357,1,2,.500,0,2,2,0,0,0,1,4,6,-0.5,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
8,67,8,2024-11-29,Pittsburgh,N,Auburn,REG (Non-Conf),L 50-82,*,14,1,3,.333,0,0,,1,3,.333,.333,1,2,.500,0,0,0,1,0,0,3,2,3,-2.2,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
9,68,9,2024-11-30,Pittsburgh,N,Northern Iowa,REG (Non-Conf),L 74-90,*,14,3,6,.500,1,3,.333,2,3,.667,.583,1,2,.500,0,3,3,3,2,0,4,2,8,4.8,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
10,69,10,2024-12-04,Pittsburgh,,Duquesne,REG (Non-Conf),L 69-73,*,22,4,6,.667,1,2,.500,3,4,.750,.750,2,2,1.000,0,0,0,4,3,0,0,4,11,12.6,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
11,70,11,2024-12-08,Pittsburgh,,Saint Peter's,REG (Non-Conf),W 59-51,*,32,3,8,.375,0,3,.000,3,5,.600,.375,0,2,.000,1,2,3,3,1,1,2,1,6,3.5,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
12,71,12,2024-12-15,Pittsburgh,,Miami (FL),REG (Conf),L 56-62,*,12,1,6,.167,0,2,.000,1,4,.250,.167,0,0,,0,2,2,1,1,0,1,3,2,-1.7,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
13,72,13,2024-12-19,Pittsburgh,,New Hampshire,REG (Non-Conf),W 94-39,*,25,7,12,.583,4,5,.800,3,7,.429,.750,2,2,1.000,1,0,1,2,3,0,2,5,20,15.5,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
14,73,14,2024-12-21,Pittsburgh,@,Utah Tech,REG (Non-Conf),W 61-52,*,33,3,10,.300,1,3,.333,2,7,.286,.350,2,2,1.000,1,4,5,2,5,0,3,3,9,7.3,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
15,74,15,2024-12-29,Pittsburgh,@,Georgia Tech,REG (Conf),L 61-100,*,31,2,5,.400,1,1,1.000,1,4,.250,.500,2,2,1.000,0,1,1,1,1,0,4,4,7,0.7,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
16,75,16,2025-01-05,Pittsburgh,@,Duke,REG (Conf),L 31-69,*,25,2,8,.250,1,2,.500,1,6,.167,.313,2,4,.500,0,4,4,2,3,0,5,4,7,0.4,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
17,76,17,2025-01-09,Pittsburgh,,Louisville,REG (Conf),L 56-65,*,30,4,12,.333,2,5,.400,2,7,.286,.417,2,2,1.000,0,2,2,3,3,1,2,3,12,8.4,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
18,77,18,2025-01-12,Pittsburgh,,SMU,REG (Conf),W 72-59,*,32,5,13,.385,3,8,.375,2,5,.400,.500,1,2,.500,3,2,5,2,3,1,1,5,14,11.3,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
19,78,19,2025-01-16,Pittsburgh,@,NC State,REG (Conf),L 67-83,*,37,6,16,.375,3,8,.375,3,8,.375,.469,1,1,1.000,2,4,6,3,1,0,1,5,16,9.9,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
20,79,20,2025-01-19,Pittsburgh,,North Carolina,REG (Conf),L 58-75,*,29,3,5,.600,1,1,1.000,2,4,.500,.700,0,0,,0,2,2,7,4,0,4,3,7,9.0,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
21,80,21,2025-01-23,Pittsburgh,,Virginia Tech,REG (Conf),L 57-84,*,34,4,11,.364,1,3,.333,3,8,.375,.409,2,5,.400,0,4,4,5,0,0,2,2,11,5.6,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
22,81,22,2025-01-30,Pittsburgh,@,Stanford,REG (Conf),L 46-58,*,38,3,12,.250,0,5,.000,3,7,.429,.250,0,0,,1,0,1,2,2,0,1,3,6,0.7,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
23,82,23,2025-02-02,Pittsburgh,@,California,REG (Conf),L 53-84,*,40,5,8,.625,3,5,.600,2,3,.667,.813,7,8,.875,0,0,0,5,1,0,2,3,20,17.3,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
24,83,24,2025-02-06,Pittsburgh,,Boston College,REG (Conf),W 79-66,*,37,4,9,.444,3,6,.500,1,3,.333,.611,3,4,.750,0,1,1,2,3,0,5,5,14,6.6,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
25,84,25,2025-02-09,Pittsburgh,@,SMU,REG (Conf),W 58-57,*,32,1,9,.111,1,5,.200,0,4,.000,.167,3,4,.750,0,6,6,2,1,0,2,5,6,-0.1,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
26,85,26,2025-02-13,Pittsburgh,,Notre Dame,REG (Conf),L 57-88,*,35,4,11,.364,2,4,.500,2,7,.286,.455,3,3,1.000,0,1,1,2,3,0,2,4,13,8.0,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
27,86,27,2025-02-16,Pittsburgh,,Virginia,REG (Conf),L 67-80,*,39,3,17,.176,1,5,.200,2,12,.167,.206,1,2,.500,1,2,3,5,2,0,1,5,8,0.7,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
28,87,28,2025-02-20,Pittsburgh,@,Florida State,REG (Conf),L 55-69,*,37,3,12,.250,1,5,.200,2,7,.286,.292,2,3,.667,0,1,1,3,4,0,0,4,9,6.2,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
29,88,29,2025-02-23,Pittsburgh,,Clemson,REG (Conf),W 72-59,*,36,6,10,.600,3,5,.600,3,5,.600,.750,5,6,.833,0,3,3,4,2,1,3,3,20,17.2,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
30,89,30,2025-02-27,Pittsburgh,@,Syracuse,REG (Conf),L 65-83,*,36,2,8,.250,2,5,.400,0,3,.000,.375,4,4,1.000,1,2,3,6,4,0,5,4,10,8.1,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
31,90,31,2025-03-02,Pittsburgh,@,Wake Forest,REG (Conf),W 79-63,*,40,4,5,.800,1,1,1.000,3,4,.750,.900,3,4,.750,0,2,2,5,4,0,5,3,12,11.6,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
32,91,32,2025-03-05,Pittsburgh,N,Virginia,CTOURN,L 50-64,*,40,3,16,.188,2,10,.200,1,6,.167,.250,2,3,.667,1,4,5,2,4,0,5,3,10,0.7,Marley Washenitz,https://www.sports-reference.com/cbb/players/marley-washenitz-1.html,pittsburgh,2024-25
