ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,32,1,2024-11-09,Portland State,,Hawaii,REG (Non-Conf),L 50-72,*,37,0,4,.000,0,3,.000,0,1,.000,.000,3,4,.750,0,2,2,1,4,1,1,1,3,4.4,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
2,33,2,2024-11-12,Portland State,@,San Francisco,REG (Non-Conf),L 56-62,*,39,3,10,.300,1,2,.500,2,8,.250,.350,3,3,1.000,0,5,5,3,1,0,0,3,10,7.6,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
3,34,3,2024-11-16,Portland State,@,Seattle,REG (Non-Conf),W 67-57,*,38,3,5,.600,1,3,.333,2,2,1.000,.700,3,4,.750,0,2,2,4,1,0,5,1,10,6.3,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
4,35,4,2024-11-24,Portland State,,Cal State Fullerton,REG (Non-Conf),W 61-52,*,38,1,6,.167,1,2,.500,0,4,.000,.250,4,4,1.000,1,2,3,5,1,0,5,2,7,3.2,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
5,36,5,2024-11-30,Portland State,,UC Davis,REG (Non-Conf),W 66-61,*,38,3,10,.300,0,3,.000,3,7,.429,.300,0,0,,0,1,1,3,0,0,3,0,6,-0.4,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
6,37,6,2024-12-04,Portland State,,Omaha,REG (Non-Conf),L 57-65,*,27,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,0,0,0,2,0,0,5,4,4,-3.2,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
7,38,7,2024-12-07,Portland State,@,Denver,REG (Non-Conf),L 41-57,*,33,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,1,1,1,1,0,3,0,4,-0.4,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
8,39,8,2024-12-13,Portland State,@,Portland,REG (Non-Conf),L 46-71,*,34,0,5,.000,0,0,,0,5,.000,.000,3,4,.750,2,1,3,2,0,0,9,1,3,-7.2,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
9,40,9,2024-12-20,Portland State,,Air Force,REG (Non-Conf),L 40-69,*,32,4,10,.400,2,2,1.000,2,8,.250,.500,2,2,1.000,0,2,2,3,1,0,5,0,12,5.3,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
10,41,10,2025-01-04,Portland State,,Sacramento State,REG (Conf),L 74-76 (OT),*,42,1,4,.250,0,2,.000,1,2,.500,.250,2,3,.667,0,2,2,3,1,0,3,2,4,1.1,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
11,42,11,2025-01-09,Portland State,@,Eastern Washington,REG (Conf),L 49-78,*,35,1,6,.167,0,4,.000,1,2,.500,.167,0,0,,2,4,6,3,0,0,2,2,2,0.1,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
12,43,12,2025-01-11,Portland State,@,Idaho,REG (Conf),L 56-60,*,36,3,6,.500,2,4,.500,1,2,.500,.667,0,0,,0,3,3,0,3,0,2,1,8,6.5,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
13,44,13,2025-01-16,Portland State,,Northern Colorado,REG (Conf),W 58-52,*,35,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,2,0,2,5,0,0,1,1,3,4.8,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
14,45,14,2025-01-18,Portland State,,Northern Arizona,REG (Conf),L 53-76,*,38,2,7,.286,2,3,.667,0,4,.000,.429,2,2,1.000,1,0,1,4,1,0,2,2,8,5.6,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
15,46,15,2025-01-23,Portland State,@,Weber State,REG (Conf),L 48-62,*,33,0,6,.000,0,1,.000,0,5,.000,.000,0,0,,1,3,4,2,0,0,2,1,0,-3.6,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
16,47,16,2025-01-25,Portland State,@,Idaho State,REG (Conf),L 52-66,*,34,1,6,.167,1,3,.333,0,3,.000,.250,0,0,,0,0,0,0,0,0,2,0,3,-2.8,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
17,48,17,2025-01-30,Portland State,,Montana,REG (Conf),L 61-73,*,32,1,6,.167,0,1,.000,1,5,.200,.167,2,2,1.000,1,3,4,3,0,0,0,0,4,3.9,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
18,49,18,2025-02-01,Portland State,,Montana State,REG (Conf),L 39-85,*,28,2,6,.333,0,1,.000,2,5,.400,.333,1,2,.500,1,4,5,3,0,1,2,2,5,3.1,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
19,50,19,2025-02-06,Portland State,,Idaho,REG (Conf),L 62-66,*,35,5,10,.500,2,5,.400,3,5,.600,.600,3,4,.750,2,1,3,5,0,0,0,2,15,14.0,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
20,51,20,2025-02-08,Portland State,,Eastern Washington,REG (Conf),L 58-65,*,35,1,3,.333,1,2,.500,0,1,.000,.500,2,4,.500,1,4,5,1,0,0,2,2,5,2.3,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
21,52,21,2025-02-13,Portland State,@,Northern Arizona,REG (Conf),L 67-83,*,32,2,6,.333,0,3,.000,2,3,.667,.333,1,2,.500,0,2,2,2,1,0,2,2,5,1.4,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
22,53,22,2025-02-15,Portland State,@,Northern Colorado,REG (Conf),L 50-68,*,37,3,8,.375,2,3,.667,1,5,.200,.500,1,2,.500,0,3,3,0,0,0,2,0,9,3.1,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
23,54,23,2025-02-20,Portland State,,Idaho State,REG (Conf),L 80-89 (2OT),*,50,4,9,.444,2,6,.333,2,3,.667,.556,4,4,1.000,0,2,2,5,1,0,0,3,14,13.2,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
24,55,24,2025-02-22,Portland State,,Weber State,REG (Conf),L 56-71,*,35,3,8,.375,1,3,.333,2,5,.400,.438,0,0,,0,1,1,2,2,0,2,1,7,3.9,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
25,56,25,2025-02-27,Portland State,@,Montana State,REG (Conf),L 49-78,*,37,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,2,2,2,6,0,4,3,3,4.8,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
26,57,26,2025-03-01,Portland State,@,Montana,REG (Conf),L 61-74,*,37,4,7,.571,2,4,.500,2,3,.667,.714,1,1,1.000,1,3,4,1,0,0,3,4,11,5.4,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
27,58,27,2025-03-03,Portland State,@,Sacramento State,REG (Conf),L 57-69,*,38,1,3,.333,0,2,.000,1,1,1.000,.333,3,5,.600,2,3,5,3,1,0,2,0,5,5.9,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
28,59,28,2025-03-08,Portland State,N,Northern Colorado,CTOURN,L 50-53,*,40,1,5,.200,1,2,.500,0,3,.000,.300,0,0,,1,5,6,5,0,1,2,0,3,4.3,Laynee Torres-Kahapea,https://www.sports-reference.com/cbb/players/laynee-torres-kahapea-1.html,portland-state,2024-25
