ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,52,1,2024-11-04,Queens (NC),@,Wake Forest,REG (Non-Conf),L 40-102,*,21,3,8,.375,1,5,.200,2,3,.667,.438,0,0,,1,1,2,2,0,0,2,0,7,3.0,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
2,53,2,2024-11-09,Queens (NC),,Wesleyan (GA),REG (Non-Conf),W 97-29,*,17,4,7,.571,1,4,.250,3,3,1.000,.643,1,2,.500,1,2,3,2,1,0,1,1,10,8.6,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
3,54,3,2024-11-13,Queens (NC),,Winthrop,REG (Non-Conf),L 52-69,*,26,2,9,.222,1,3,.333,1,6,.167,.278,0,0,,1,0,1,1,1,2,1,2,5,1.5,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
4,55,4,2024-11-18,Queens (NC),,Longwood,REG (Non-Conf),L 66-80,*,32,6,10,.600,2,5,.400,4,5,.800,.700,0,0,,0,5,5,4,1,0,3,0,14,11.7,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
5,56,5,2024-11-22,Queens (NC),@,USC Upstate,REG (Non-Conf),W 65-58,*,39,6,11,.545,5,8,.625,1,3,.333,.773,2,2,1.000,1,2,3,1,2,0,0,1,19,17.3,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
6,57,6,2024-11-26,Queens (NC),,South Carolina State,REG (Non-Conf),W 73-57,*,34,5,9,.556,4,8,.500,1,1,1.000,.778,0,0,,1,3,4,2,3,0,0,1,14,15.3,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
7,58,7,2024-12-02,Queens (NC),@,Presbyterian,REG (Non-Conf),W 60-47,*,25,1,5,.200,1,2,.500,0,3,.000,.300,0,0,,1,4,5,0,1,0,2,0,3,0.8,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
8,59,8,2024-12-07,Queens (NC),,Johnson/Wales-NC,REG (Non-Conf),W 108-55,*,15,4,6,.667,3,3,1.000,1,3,.333,.917,0,0,,0,1,1,1,2,1,2,1,11,9.7,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
9,60,9,2024-12-09,Queens (NC),@,Kentucky,REG (Non-Conf),L 45-87,*,32,4,14,.286,2,9,.222,2,5,.400,.357,0,0,,0,1,1,0,2,0,3,1,10,0.7,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
10,61,10,2024-12-14,Queens (NC),,Western Carolina,REG (Non-Conf),L 66-82,*,28,2,8,.250,1,5,.200,1,3,.333,.313,0,0,,1,0,1,1,2,0,1,2,5,1.8,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
11,62,11,2024-12-20,Queens (NC),@,Gardner-Webb,REG (Non-Conf),W 99-97 (3OT),*,49,8,17,.471,2,9,.222,6,8,.750,.529,3,4,.750,4,8,12,6,0,0,1,3,21,19.1,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
12,63,12,2025-01-02,Queens (NC),@,Florida Gulf Coast,REG (Conf),L 58-81,*,27,1,12,.083,0,5,.000,1,7,.143,.083,0,0,,1,3,4,2,1,0,0,0,2,-2.0,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
13,64,13,2025-01-04,Queens (NC),@,Stetson,REG (Conf),L 61-69,*,33,3,15,.200,2,10,.200,1,5,.200,.267,0,0,,0,4,4,1,2,0,1,2,8,0.8,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
14,65,14,2025-01-08,Queens (NC),,Bellarmine,REG (Conf),L 67-71,*,30,7,9,.778,4,5,.800,3,4,.750,1.000,1,3,.333,0,0,0,2,1,0,2,3,19,13.9,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
15,66,15,2025-01-12,Queens (NC),,Central Arkansas,REG (Conf),L 57-66,*,34,2,11,.182,0,6,.000,2,5,.400,.182,0,0,,0,2,2,4,1,0,0,0,4,1.5,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
16,67,16,2025-01-16,Queens (NC),,Florida Gulf Coast,REG (Conf),L 47-69,*,23,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,3,3,1,0,0,0,1,3,1.8,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
17,68,17,2025-01-18,Queens (NC),,Lipscomb,REG (Conf),L 73-87,*,36,8,17,.471,1,3,.333,7,14,.500,.500,0,0,,0,0,0,4,2,0,2,1,17,10.7,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
18,69,18,2025-01-23,Queens (NC),@,North Florida,REG (Conf),W 84-81 (OT),*,33,2,7,.286,1,4,.250,1,3,.333,.357,0,0,,2,1,3,3,0,0,1,2,5,2.9,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
19,70,19,2025-01-25,Queens (NC),@,Jacksonville,REG (Conf),L 76-83,*,17,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,1,0,1,2,1,0,0,1,0,0.6,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
20,71,20,2025-01-30,Queens (NC),@,North Alabama,REG (Conf),L 62-87,,12,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,0,0,0,0,0,0,1,0,4,1.3,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
21,72,21,2025-02-01,Queens (NC),@,Central Arkansas,REG (Conf),L 50-68,*,25,3,8,.375,0,0,,3,8,.375,.375,0,0,,1,1,2,1,1,0,0,2,6,3.5,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
22,73,22,2025-02-06,Queens (NC),,Austin Peay,REG (Conf),W 52-43,*,38,5,14,.357,1,6,.167,4,8,.500,.393,2,2,1.000,1,6,7,1,0,0,3,2,13,4.6,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
23,74,23,2025-02-08,Queens (NC),,West Georgia,REG (Conf),L 49-56,*,33,3,14,.214,2,7,.286,1,7,.143,.286,3,4,.750,1,4,5,0,2,0,3,1,11,2.5,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
24,75,24,2025-02-12,Queens (NC),,Eastern Kentucky,REG (Conf),L 62-75,*,31,0,8,.000,0,2,.000,0,6,.000,.000,1,2,.500,0,1,1,2,2,0,3,0,1,-4.3,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
25,76,25,2025-02-15,Queens (NC),@,Lipscomb,REG (Conf),L 72-86,*,31,2,7,.286,2,6,.333,0,1,.000,.429,0,0,,1,2,3,1,3,0,3,2,6,3.1,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
26,77,26,2025-02-20,Queens (NC),@,Austin Peay,REG (Conf),L 57-66,*,35,2,7,.286,1,3,.333,1,4,.250,.357,0,0,,1,4,5,1,0,0,1,0,5,2.5,Ana Barreto,https://www.sports-reference.com/cbb/players/ana-barreto-1.html,queens-nc,2024-25
