ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,66,1,2024-11-04,Rhode Island,,Stonehill,REG (Non-Conf),W 68-45,*,29,4,8,.500,0,0,4,8,.500,.500,2,4,.500,6,7,13,0,2,0,0,0,10,13.5,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
2,67,2,2024-11-08,Rhode Island,@,Albany (NY),REG (Non-Conf),L 57-67,*,31,4,4,1.000,0,0,4,4,1.000,1.000,1,2,.500,3,5,8,0,1,0,4,3,9,6.8,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
3,68,3,2024-11-10,Rhode Island,@,Le Moyne,REG (Non-Conf),W 76-51,*,28,5,8,.625,0,0,5,8,.625,.625,0,0,,3,3,6,1,0,0,1,2,10,8.3,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
4,69,4,2024-11-13,Rhode Island,,Maine,REG (Non-Conf),L 53-57,*,31,3,4,.750,0,0,3,4,.750,.750,0,3,.000,4,4,8,0,2,0,2,1,6,6.8,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
5,70,5,2024-11-17,Rhode Island,,St. John's (NY),REG (Non-Conf),L 45-60,*,34,2,5,.400,0,0,2,5,.400,.400,0,2,.000,5,2,7,1,0,1,1,4,4,3.4,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
6,71,6,2024-11-20,Rhode Island,@,UMass Lowell,REG (Non-Conf),W 81-35,*,19,3,4,.750,0,0,3,4,.750,.750,0,0,,2,1,3,0,1,0,0,2,6,6.3,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
7,72,7,2024-11-23,Rhode Island,,Brown,REG (Non-Conf),W 63-58,*,33,5,12,.417,0,0,5,12,.417,.417,1,7,.143,8,1,9,2,0,1,1,2,11,8.4,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
8,73,8,2024-11-28,Rhode Island,N,Iowa,REG (Non-Conf),L 62-69,*,23,1,2,.500,0,0,1,2,.500,.500,2,2,1.000,0,1,1,0,0,0,2,1,4,0.9,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
9,74,9,2024-11-29,Rhode Island,N,Idaho State,REG (Non-Conf),L 50-52,*,21,2,4,.500,0,0,2,4,.500,.500,1,1,1.000,3,1,4,0,0,0,1,1,5,4.0,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
10,75,10,2024-12-04,Rhode Island,,Providence,REG (Non-Conf),L 45-48,*,36,3,4,.750,0,0,3,4,.750,.750,0,0,,3,4,7,1,0,2,2,2,6,7.0,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
11,76,11,2024-12-07,Rhode Island,@,Harvard,REG (Non-Conf),L 48-60,*,32,2,4,.500,0,0,2,4,.500,.500,0,0,,3,3,6,1,0,0,3,5,4,0.7,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
12,77,12,2024-12-11,Rhode Island,@,Princeton,REG (Non-Conf),L 54-66,*,30,5,7,.714,0,0,5,7,.714,.714,3,4,.750,2,6,8,1,1,0,2,1,13,12.2,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
13,78,13,2024-12-20,Rhode Island,,Saint Francis (PA),REG (Non-Conf),W 77-37,*,29,3,6,.500,0,0,3,6,.500,.500,2,3,.667,7,1,8,2,0,1,1,0,8,10.9,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
14,79,14,2024-12-29,Rhode Island,,Saint Louis,REG (Conf),W 83-63,*,35,5,7,.714,0,0,5,7,.714,.714,0,0,,2,3,5,0,0,0,2,1,10,7.0,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
15,80,15,2025-01-02,Rhode Island,@,St. Bonaventure,REG (Conf),W 82-48,*,22,3,6,.500,0,0,3,6,.500,.500,0,0,,1,1,2,1,0,0,1,2,6,2.9,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
16,81,16,2025-01-08,Rhode Island,@,Davidson,REG (Conf),L 55-65,*,36,4,10,.400,0,0,4,10,.400,.400,3,9,.333,9,2,11,0,0,0,0,3,11,8.9,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
17,82,17,2025-01-12,Rhode Island,,George Mason,REG (Conf),L 65-71,*,35,7,12,.583,0,0,7,12,.583,.583,0,1,.000,3,1,4,1,1,0,2,3,14,8.9,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
18,83,18,2025-01-15,Rhode Island,@,VCU,REG (Conf),W 64-50,*,28,4,6,.667,0,0,4,6,.667,.667,0,2,.000,2,4,6,0,1,0,1,2,8,6.4,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
19,84,19,2025-01-19,Rhode Island,@,Duquesne,REG (Conf),L 64-77,*,32,2,5,.400,0,0,2,5,.400,.400,1,1,1.000,5,1,6,2,0,1,1,0,5,7.2,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
20,85,20,2025-01-22,Rhode Island,,Massachusetts,REG (Conf),W 60-58,*,31,6,8,.750,0,0,6,8,.750,.750,0,0,,8,4,12,1,1,1,3,3,12,13.8,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
21,86,21,2025-01-26,Rhode Island,,Loyola Chicago,REG (Conf),W 67-49,*,14,0,1,.000,0,0,0,1,.000,.000,1,6,.167,2,0,2,1,0,0,2,2,1,-2.4,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
22,87,22,2025-01-29,Rhode Island,@,Fordham,REG (Conf),W 53-35,*,34,5,5,1.000,0,0,5,5,1.000,1.000,1,1,1.000,6,6,12,0,0,0,4,2,11,10.7,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
23,88,23,2025-02-02,Rhode Island,@,Richmond,REG (Conf),L 56-79,*,27,6,11,.545,0,0,6,11,.545,.545,0,0,,3,0,3,0,0,0,3,3,12,4.6,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
24,89,24,2025-02-05,Rhode Island,,Duquesne,REG (Conf),W 59-57,*,33,4,7,.571,0,0,4,7,.571,.571,1,2,.500,2,10,12,1,2,0,2,2,9,9.6,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
25,90,25,2025-02-08,Rhode Island,,Dayton,REG (Conf),W 57-36,*,27,3,6,.500,0,0,3,6,.500,.500,2,3,.667,1,2,3,1,0,1,1,3,8,5.1,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
26,91,26,2025-02-12,Rhode Island,@,George Mason,REG (Conf),L 44-56,*,31,0,7,.000,0,0,0,7,.000,.000,0,0,,2,2,4,1,1,0,0,1,0,-1.6,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
27,92,27,2025-02-15,Rhode Island,,La Salle,REG (Conf),W 77-54,*,29,2,8,.250,0,0,2,8,.250,.250,0,0,,6,3,9,1,0,0,2,0,4,3.0,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
28,93,28,2025-02-19,Rhode Island,,Saint Joseph's,REG (Conf),W 70-65,*,35,5,10,.500,0,0,5,10,.500,.500,0,0,,4,1,5,0,2,0,4,3,10,4.9,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
29,94,29,2025-02-23,Rhode Island,@,Massachusetts,REG (Conf),W 42-40,*,33,3,8,.375,0,0,3,8,.375,.375,0,2,.000,2,7,9,2,0,0,4,4,6,0.1,Hawa Komara,https://www.sports-reference.com/cbb/players/hawa-komara-1.html,rhode-island,2024-25
