ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-04,Rider,,Navy,REG (Non-Conf),L 52-74,,6,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,0,1,1,0,0,0,2,2,4,1.2,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
2,2,2,2024-11-12,Rider,@,LIU,REG (Non-Conf),W 66-54,,11,0,1,.000,0,0,,0,1,.000,.000,3,4,.750,2,2,4,1,0,2,2,4,3,2.4,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
3,3,3,2024-11-15,Rider,,Bryant,REG (Non-Conf),L 54-62,,9,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,3,4,0,0,0,2,1,0,-2.2,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
4,4,4,2024-11-20,Rider,@,La Salle,REG (Non-Conf),L 54-55,,13,1,3,.333,0,0,,1,3,.333,.333,5,6,.833,3,3,6,0,2,1,1,2,7,8.8,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
5,5,5,2024-11-24,Rider,@,VCU,REG (Non-Conf),L 60-75,,8,0,2,.000,0,0,,0,2,.000,.000,2,2,1.000,0,1,1,1,0,0,2,1,2,-0.8,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
6,6,7,2024-12-05,Rider,@,Monmouth,REG (Non-Conf),L 36-52,,17,2,5,.400,0,0,,2,5,.400,.400,1,3,.333,1,1,2,2,0,0,1,2,5,2.1,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
7,7,8,2024-12-08,Rider,,FDU,REG (Non-Conf),L 54-62,*,21,3,5,.600,0,0,,3,5,.600,.600,0,0,,1,2,3,1,1,1,2,4,6,3.8,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
8,8,9,2024-12-14,Rider,,Stonehill,REG (Non-Conf),W 65-53,*,27,6,8,.750,0,0,,6,8,.750,.750,4,6,.667,3,4,7,0,6,1,1,4,16,19.4,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
9,9,10,2024-12-19,Rider,@,Quinnipiac,REG (Conf),L 62-70,*,20,7,12,.583,0,0,,7,12,.583,.583,1,2,.500,0,2,2,1,2,1,3,4,15,8.4,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
10,10,11,2025-01-02,Rider,,Fairfield,REG (Conf),L 37-69,*,19,2,7,.286,0,0,,2,7,.286,.286,0,0,,2,1,3,0,0,0,3,3,4,-2.6,Winner Bartholomew,https://www.sports-reference.com/cbb/players/winner-bartholomew-1.html,rider,2024-25
