ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-04,Saint Francis (PA),,NJIT,REG (Non-Conf),L 60-80,,17,0,2,.000,0,1,.000,0,1,.000,.000,4,4,1.000,0,3,3,4,2,0,2,1,4,5.9,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
2,2,2,2024-11-09,Saint Francis (PA),@,Lafayette,REG (Non-Conf),L 45-53,*,32,2,8,.250,2,8,.250,0,0,,.375,0,0,,2,4,6,2,1,0,4,0,6,2.2,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
3,3,3,2024-11-12,Saint Francis (PA),@,Coppin State,REG (Non-Conf),L 38-74,*,33,4,9,.444,0,2,.000,4,7,.571,.444,1,5,.200,0,3,3,2,1,0,2,2,9,3.2,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
4,4,4,2024-11-15,Saint Francis (PA),,Canisius,REG (Non-Conf),L 46-48,*,27,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,1,2,3,0,1,0,4,1,2,-2.5,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
5,5,5,2024-11-17,Saint Francis (PA),,Loyola (MD),REG (Non-Conf),L 52-65,*,21,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,2,2,2,2,0,1,1,2,3.6,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
6,6,6,2024-11-20,Saint Francis (PA),@,Robert Morris,REG (Non-Conf),W 58-55,*,25,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,1,6,7,4,0,0,3,4,2,0.3,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
7,7,7,2024-11-24,Saint Francis (PA),@,Maryland,REG (Non-Conf),L 35-107,*,31,2,5,.400,1,3,.333,1,2,.500,.500,1,2,.500,0,2,2,2,1,0,2,2,6,3.1,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
8,8,8,2024-11-27,Saint Francis (PA),@,Saint Joseph's,REG (Non-Conf),L 35-88,*,23,0,4,.000,0,2,.000,0,2,.000,.000,2,2,1.000,0,2,2,3,0,0,2,0,2,-0.1,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
9,9,9,2024-12-01,Saint Francis (PA),@,Duquesne,REG (Non-Conf),L 71-85,*,27,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,5,5,9,1,1,4,4,3,5.9,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
10,10,10,2024-12-05,Saint Francis (PA),@,Delaware State,REG (Non-Conf),W 69-60,*,26,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,1,1,4,1,0,1,1,3,3.3,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
11,11,11,2024-12-08,Saint Francis (PA),,UMBC,REG (Non-Conf),L 45-61,*,26,1,3,.333,0,1,.000,1,2,.500,.333,0,1,.000,0,2,2,1,1,0,4,2,2,-2.6,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
12,12,12,2024-12-15,Saint Francis (PA),@,Butler,REG (Non-Conf),L 38-95,*,30,2,4,.500,1,1,1.000,1,3,.333,.625,0,0,,1,2,3,3,1,0,6,1,5,1.0,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
13,13,13,2024-12-20,Saint Francis (PA),@,Rhode Island,REG (Non-Conf),L 37-77,*,23,1,4,.250,0,0,,1,4,.250,.250,0,0,,0,3,3,1,1,0,4,0,2,-1.8,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
14,14,14,2025-01-02,Saint Francis (PA),@,Central Connecticut State,REG (Conf),W 79-63,*,31,3,6,.500,0,2,.000,3,4,.750,.500,1,2,.500,1,1,2,6,3,0,0,1,7,11.4,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
15,15,15,2025-01-04,Saint Francis (PA),@,Stonehill,REG (Conf),L 59-73,*,28,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,1,3,4,0,1,0,3,1,4,1.2,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
16,16,16,2025-01-09,Saint Francis (PA),,FDU,REG (Conf),L 55-63,*,32,2,5,.400,0,0,,2,5,.400,.400,1,2,.500,1,4,5,4,1,0,2,3,5,4.4,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
17,17,17,2025-01-11,Saint Francis (PA),,Le Moyne,REG (Conf),W 73-41,*,27,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,4,4,5,2,0,0,1,2,5.9,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
18,18,18,2025-01-18,Saint Francis (PA),,LIU,REG (Conf),W 63-54,*,28,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,0,2,2,5,2,0,0,1,3,5.9,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
19,19,19,2025-01-20,Saint Francis (PA),,Wagner,REG (Conf),W 51-47,*,35,3,5,.600,0,0,,3,5,.600,.600,7,10,.700,4,1,5,3,1,3,1,1,13,16.4,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
20,20,20,2025-01-23,Saint Francis (PA),@,LIU,REG (Conf),L 56-63,*,32,5,6,.833,3,4,.750,2,2,1.000,1.083,1,1,1.000,1,5,6,3,1,0,3,3,14,12.9,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
21,21,21,2025-01-25,Saint Francis (PA),@,Wagner,REG (Conf),W 50-48,*,31,1,7,.143,0,4,.000,1,3,.333,.143,1,2,.500,0,3,3,2,3,0,2,2,3,0.6,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
22,22,22,2025-02-06,Saint Francis (PA),@,Le Moyne,REG (Conf),W 66-60 (OT),*,38,2,6,.333,1,3,.333,1,3,.333,.417,5,5,1.000,2,3,5,0,1,0,0,3,10,8.7,Ineivi Plata,https://www.sports-reference.com/cbb/players/ineivi-plata-1.html,saint-francis-pa,2024-25
