ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,2,2024-11-07,Southern Mississippi,,Blue Mountain,REG (Non-Conf),W 87-60,,6,0,1,.000,0,1,.000,0,0,.000,0,0,0,1,1,0,0,0,0,2,0,-1.2,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
2,2,3,2024-11-11,Southern Mississippi,,William Carey,REG (Non-Conf),W 66-47,,6,0,3,.000,0,3,.000,0,0,.000,0,0,0,2,2,0,0,0,0,0,0,-1.5,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
3,3,5,2024-11-23,Southern Mississippi,N,Baylor,REG (Non-Conf),L 55-101,,3,0,1,.000,0,1,.000,0,0,.000,0,0,1,0,1,0,0,0,0,1,0,-0.4,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
4,4,7,2024-11-25,Southern Mississippi,N,Texas A&M,REG (Non-Conf),L 57-79,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1.0,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
5,5,11,2024-12-20,Southern Mississippi,@,Missouri State,REG (Non-Conf),L 54-92,,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
6,6,13,2025-01-02,Southern Mississippi,,Old Dominion,REG (Conf),L 47-65,,2,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0.7,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
7,7,16,2025-01-11,Southern Mississippi,@,Louisiana,REG (Conf),L 68-77,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
8,8,18,2025-01-18,Southern Mississippi,,South Alabama,REG (Conf),W 78-49,,3,0,0,,0,0,,0,0,,0,0,0,1,1,1,0,0,0,0,0,1.0,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
9,9,19,2025-01-24,Southern Mississippi,@,James Madison,REG (Conf),L 47-62,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
10,10,25,2025-02-12,Southern Mississippi,@,Arkansas State,REG (Conf),L 53-74,,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
11,11,26,2025-02-15,Southern Mississippi,@,Troy,REG (Conf),L 59-86,,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.0,Jaime Gallatly,https://www.sports-reference.com/cbb/players/jaime-gallatly-1.html,southern-mississippi,2024-25
