ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,18,1,2024-11-09,St. Bonaventure,,Binghamton,REG (Non-Conf),W 82-61,,8,0,0,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0.7,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
2,19,3,2024-11-16,St. Bonaventure,@,Bowling Green,REG (Non-Conf),L 41-92,,11,1,1,1.000,0,0,1,1,1.000,1.000,0,0,1,0,1,0,0,0,1,0,2,1.4,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
3,20,4,2024-11-19,St. Bonaventure,@,Canisius,REG (Non-Conf),W 66-63,,3,1,2,.500,0,0,1,2,.500,.500,0,0,0,0,0,0,0,0,0,0,2,1.0,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
4,21,5,2024-11-23,St. Bonaventure,,Colgate,REG (Non-Conf),L 72-82,,7,0,0,,0,0,0,0,,,0,0,1,0,1,0,0,0,1,0,0,-0.3,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
5,22,6,2024-11-27,St. Bonaventure,,Loyola (MD),REG (Non-Conf),L 42-60,,1,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
6,23,7,2024-11-30,St. Bonaventure,@,Buffalo,REG (Non-Conf),L 46-74,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.0,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
7,24,8,2024-12-05,St. Bonaventure,,Cornell,REG (Non-Conf),W 56-54,,8,0,2,.000,0,0,0,2,.000,.000,0,0,0,0,0,0,0,0,0,0,0,-1.4,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
8,25,10,2024-12-17,St. Bonaventure,,Niagara,REG (Non-Conf),W 76-68,,2,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,-0.4,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
9,26,11,2024-12-21,St. Bonaventure,@,Robert Morris,REG (Non-Conf),L 41-65,,3,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,-1.4,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
10,27,13,2025-01-02,St. Bonaventure,,Rhode Island,REG (Conf),L 48-82,,2,1,2,.500,0,0,1,2,.500,.500,0,0,0,0,0,0,0,0,0,0,2,1.0,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
11,28,15,2025-01-08,St. Bonaventure,,Saint Louis,REG (Conf),W 68-66,,13,1,2,.500,0,0,1,2,.500,.500,0,0,0,1,1,0,0,0,0,0,2,1.3,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
12,29,16,2025-01-12,St. Bonaventure,,Massachusetts,REG (Conf),L 58-67,*,14,0,1,.000,0,0,0,1,.000,.000,0,0,1,1,2,0,0,0,1,3,0,-1.9,Tamar voor de Poort,https://www.sports-reference.com/cbb/players/tamar-voor-de-poort-1.html,st-bonaventure,2024-25
