ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,7,1,2024-11-04,Stony Brook,@,Columbia,REG (Non-Conf),L 47-87,,19,2,5,.400,0,0,2,5,.400,.400,0,3,.000,3,1,4,0,0,0,5,3,4,-3.7,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
2,8,2,2024-11-07,Stony Brook,,Le Moyne,REG (Non-Conf),W 53-43,,23,1,3,.333,0,0,1,3,.333,.333,2,4,.500,6,4,10,0,1,0,2,3,4,4.7,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
3,9,3,2024-11-15,Stony Brook,@,Yale,REG (Non-Conf),W 62-48,,3,0,2,.000,0,0,0,2,.000,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-0.8,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
4,10,4,2024-11-18,Stony Brook,,Marist,REG (Non-Conf),W 69-49,,17,0,1,.000,0,0,0,1,.000,.000,0,2,.000,0,3,3,0,1,0,2,0,0,-1.6,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
5,11,5,2024-11-24,Stony Brook,@,St. John's (NY),REG (Non-Conf),L 34-58,,12,1,2,.500,0,0,1,2,.500,.500,0,0,,0,2,2,0,0,0,1,1,2,0.2,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
6,12,6,2024-11-27,Stony Brook,,Harvard,REG (Non-Conf),L 51-60,,26,2,6,.333,0,0,2,6,.333,.333,1,1,1.000,3,9,12,0,0,1,1,4,5,4.5,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
7,13,7,2024-12-01,Stony Brook,,Fordham,REG (Non-Conf),L 55-64,,16,1,1,1.000,0,0,1,1,1.000,1.000,1,4,.250,1,0,1,0,1,0,1,0,3,2.2,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
8,14,9,2024-12-14,Stony Brook,@,Buffalo,REG (Non-Conf),L 55-72,,17,1,2,.500,0,0,1,2,.500,.500,0,0,,0,4,4,1,0,0,2,2,2,0.1,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
9,15,10,2024-12-18,Stony Brook,,Georgian Court,REG (Non-Conf),W 67-29,,23,7,10,.700,0,0,7,10,.700,.700,2,4,.500,5,6,11,0,1,0,2,3,16,14.1,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
10,16,11,2024-12-22,Stony Brook,,Cornell,REG (Non-Conf),W 54-40,,20,0,1,.000,0,0,0,1,.000,.000,0,0,,0,4,4,1,0,1,1,2,0,0.1,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
11,17,12,2025-01-03,Stony Brook,@,Northeastern,REG (Conf),W 72-51,,21,5,8,.625,0,0,5,8,.625,.625,0,0,,2,7,9,1,0,0,0,2,10,9.8,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
12,18,13,2025-01-05,Stony Brook,@,Monmouth,REG (Conf),L 61-75,,12,0,5,.000,0,0,0,5,.000,.000,0,0,,0,2,2,0,0,0,0,1,0,-3.3,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
13,19,14,2025-01-10,Stony Brook,,William & Mary,REG (Conf),W 66-48,,20,2,7,.286,0,0,2,7,.286,.286,4,4,1.000,1,2,3,0,0,1,2,2,8,3.1,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
14,20,15,2025-01-12,Stony Brook,,College of Charleston,REG (Conf),W 87-83 (OT),,19,0,0,,0,0,0,0,,,3,4,.750,2,3,5,0,0,2,1,1,3,4.9,Dallysshya Moreno,https://www.sports-reference.com/cbb/players/dallysshya-moreno-1.html,stony-brook,2024-25
