ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,22,1,2024-11-04,Texas A&M,,Texas A&M–Corpus Christi,REG (Non-Conf),L 56-62,,20,2,9,.222,0,5,.000,2,4,.500,.222,2,2,1.000,0,2,2,2,1,0,4,2,6,-1.3,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
2,23,2,2024-11-07,Texas A&M,,UTSA,REG (Non-Conf),W 55-51,,12,2,5,.400,2,4,.500,0,1,.000,.600,0,0,,0,0,0,0,1,1,2,2,6,2.2,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
3,24,3,2024-11-10,Texas A&M,,Western Michigan,REG (Non-Conf),W 86-38,,20,6,9,.667,4,6,.667,2,3,.667,.889,2,2,1.000,0,4,4,4,3,0,0,3,18,19.9,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
4,25,4,2024-11-15,Texas A&M,@,West Virginia,REG (Non-Conf),L 62-83,*,11,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,3,2,0,-4.2,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
5,26,5,2024-11-17,Texas A&M,,Northwestern State,REG (Non-Conf),W 75-54,,20,3,7,.429,0,3,.000,3,4,.750,.429,0,0,,0,1,1,1,2,0,1,3,6,3.1,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
6,27,6,2024-11-23,Texas A&M,N,Villanova,REG (Non-Conf),L 57-65,,18,3,7,.429,0,3,.000,3,4,.750,.429,3,3,1.000,1,0,1,0,0,0,2,1,9,3.6,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
7,28,7,2024-11-24,Texas A&M,N,Ball State,REG (Non-Conf),L 62-75,,26,3,13,.231,2,8,.250,1,5,.200,.308,0,0,,0,2,2,2,1,0,2,3,8,-0.1,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
8,29,8,2024-11-25,Texas A&M,N,Southern Mississippi,REG (Non-Conf),W 79-57,,18,1,7,.143,1,5,.200,0,2,.000,.214,0,0,,0,4,4,2,0,0,0,0,3,1.1,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
9,30,9,2024-12-04,Texas A&M,,Syracuse,REG (Non-Conf),W 57-45,,12,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,1,0,1,0,1,0,0,1,2,-0.5,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
10,31,10,2024-12-08,Texas A&M,,Kansas State,REG (Non-Conf),L 50-89,,14,3,5,.600,0,2,.000,3,3,1.000,.600,0,0,,0,3,3,0,0,0,2,0,6,2.6,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
11,32,11,2024-12-16,Texas A&M,,Texas Southern,REG (Non-Conf),W 85-60,,12,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,2,2,1,1,0,3,0,2,-0.4,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
12,33,12,2024-12-19,Texas A&M,,Mississippi Valley State,REG (Non-Conf),W 96-54,,16,3,7,.429,3,6,.500,0,1,.000,.643,0,0,,0,1,1,2,0,0,0,1,9,6.6,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
13,34,13,2025-01-02,Texas A&M,,Tennessee,REG (Conf),L 78-91,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,4,0,0,-4.0,Kyndall Hunter,https://www.sports-reference.com/cbb/players/kyndall-hunter-1.html,texas-am,2024-25
