ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,104,1,2024-11-04,Texas A&M–Corpus Christi,@,Texas A&M,REG (Non-Conf),W 62-56,*,29,6,9,.667,1,1,1.000,5,8,.625,.722,1,2,.500,0,6,6,1,3,1,2,3,14,12.7,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
2,105,2,2024-11-09,Texas A&M–Corpus Christi,@,Texas State,REG (Non-Conf),W 62-57,*,30,5,10,.500,0,0,,5,10,.500,.500,3,6,.500,1,4,5,7,1,0,2,3,13,11.4,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
3,106,3,2024-11-12,Texas A&M–Corpus Christi,,Sul Ross St.,REG (Non-Conf),W 98-54,*,24,3,5,.600,0,0,,3,5,.600,.600,1,3,.333,1,2,3,6,0,1,0,1,7,9.7,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
4,107,4,2024-11-17,Texas A&M–Corpus Christi,@,Baylor,REG (Non-Conf),L 42-65,*,28,4,11,.364,0,2,.000,4,9,.444,.364,3,5,.600,1,2,3,1,0,0,3,1,11,2.7,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
5,108,5,2024-11-20,Texas A&M–Corpus Christi,@,UTSA,REG (Non-Conf),L 43-62,*,35,3,7,.429,0,2,.000,3,5,.600,.429,3,7,.429,0,2,2,6,2,0,3,3,9,6.3,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
6,109,6,2024-11-26,Texas A&M–Corpus Christi,,UTEP,REG (Non-Conf),L 53-64,*,24,4,9,.444,1,3,.333,3,6,.500,.500,3,5,.600,1,5,6,3,0,0,6,1,12,4.4,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
7,110,7,2024-11-30,Texas A&M–Corpus Christi,,Our Lady,REG (Non-Conf),W 72-37,*,27,5,9,.556,0,2,.000,5,7,.714,.556,0,0,,1,5,6,4,4,0,1,0,10,13.7,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
8,111,8,2024-12-07,Texas A&M–Corpus Christi,,Dallas Christian,REG (Non-Conf),W 81-28,*,22,5,8,.625,0,0,,5,8,.625,.625,0,0,,1,4,5,3,1,2,2,1,10,10.4,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
9,112,9,2024-12-14,Texas A&M–Corpus Christi,,Stephen F. Austin,REG (Conf),L 59-66,*,32,5,10,.500,0,0,,5,10,.500,.500,4,5,.800,1,1,2,5,3,0,7,2,14,8.3,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
10,113,10,2024-12-19,Texas A&M–Corpus Christi,N,Kansas City,REG (Non-Conf),W 64-59,*,29,4,10,.400,0,1,.000,4,9,.444,.400,1,2,.500,0,5,5,2,2,0,2,1,9,5.7,Mireia Aguado,https://www.sports-reference.com/cbb/players/mireia-aguado-1.html,texas-am-corpus-christi,2024-25
