ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,48,1,2024-11-04,Vermont,,Missouri,REG (Non-Conf),W 62-46,*,22,4,4,1.000,0,0,,4,4,1.000,1.000,0,1,.000,0,1,1,1,1,0,0,2,8,7.6,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
2,49,2,2024-11-08,Vermont,@,Minnesota,REG (Non-Conf),L 52-74,*,23,4,4,1.000,0,0,,4,4,1.000,1.000,0,2,.000,0,3,3,0,0,0,1,4,8,4.3,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
3,50,3,2024-11-12,Vermont,,Providence,REG (Non-Conf),L 53-58,*,28,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,2,3,5,3,0,0,1,1,6,6.0,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
4,51,4,2024-11-16,Vermont,,Holy Cross,REG (Non-Conf),W 67-50,*,33,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,1,4,5,1,1,3,2,2,3,3.1,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
5,52,5,2024-11-18,Vermont,@,Dartmouth,REG (Non-Conf),W 61-37,*,23,3,7,.429,0,0,,3,7,.429,.429,0,0,,0,1,1,3,2,2,2,0,6,6.1,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
6,53,6,2024-11-22,Vermont,N,North Dakota State,REG (Non-Conf),L 50-58,*,12,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,0,0,2,3,2,-2.2,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
7,54,7,2024-11-23,Vermont,@,Ak. Anchorage,REG (Non-Conf),L 52-68,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
8,55,8,2024-11-28,Vermont,N,Idaho State,REG (Non-Conf),W 64-44,,21,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,2,3,1,0,0,5,2,4,-1.8,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
9,56,9,2024-11-29,Vermont,N,Rice,REG (Non-Conf),L 57-79,,15,0,2,.000,0,0,,0,2,.000,.000,1,4,.250,1,1,2,1,1,0,0,0,1,1.1,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
10,57,10,2024-12-04,Vermont,@,Bucknell,REG (Non-Conf),L 59-62 (OT),,18,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,5,7,0,1,0,1,4,2,2.3,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
11,58,11,2024-12-07,Vermont,,Manhattan,REG (Non-Conf),W 74-57,*,26,3,5,.600,0,0,,3,5,.600,.600,2,2,1.000,0,8,8,0,0,0,1,1,8,6.7,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
12,59,12,2024-12-15,Vermont,,Quinnipiac,REG (Non-Conf),L 63-68,*,28,4,8,.500,0,0,,4,8,.500,.500,1,2,.500,2,3,5,2,3,2,1,4,9,10.1,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
13,60,13,2024-12-19,Vermont,@,Buffalo,REG (Non-Conf),L 68-70,*,21,1,3,.333,0,0,,1,3,.333,.333,1,4,.250,2,7,9,3,2,1,2,2,3,5.6,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
14,61,14,2024-12-21,Vermont,@,Princeton,REG (Non-Conf),L 45-60,,16,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,0,1,1,0,0,0,2,2,1.6,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
15,62,15,2025-01-02,Vermont,@,Albany (NY),REG (Conf),L 55-64,,28,4,7,.571,0,0,,4,7,.571,.571,0,1,.000,1,2,3,1,0,2,1,2,8,5.9,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
16,63,16,2025-01-04,Vermont,,New Hampshire,REG (Conf),W 72-52,*,27,4,8,.500,0,0,,4,8,.500,.500,2,2,1.000,3,3,6,3,0,2,2,0,10,10.5,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
17,64,17,2025-01-09,Vermont,,UMass Lowell,REG (Conf),W 77-52,*,24,5,6,.833,0,0,,5,6,.833,.833,4,5,.800,2,4,6,1,1,3,2,2,14,15.0,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
18,65,18,2025-01-11,Vermont,,Bryant,REG (Conf),W 74-43,*,19,7,10,.700,0,0,,7,10,.700,.700,0,2,.000,1,3,4,0,0,2,0,3,14,10.8,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
19,66,19,2025-01-16,Vermont,@,Binghamton,REG (Conf),W 55-46,*,20,5,9,.556,0,0,,5,9,.556,.556,3,3,1.000,1,5,6,1,2,0,1,3,13,11.4,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
20,67,20,2025-01-23,Vermont,@,NJIT,REG (Conf),W 60-38,*,21,5,11,.455,0,0,,5,11,.455,.455,0,0,,1,0,1,0,0,1,1,0,10,4.7,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
21,68,21,2025-01-25,Vermont,@,UMBC,REG (Conf),W 67-44,*,30,4,4,1.000,0,0,,4,4,1.000,1.000,2,2,1.000,1,2,3,1,1,0,0,2,10,11.0,Nikola Priede,https://www.sports-reference.com/cbb/players/nikola-priede-1.html,vermont,2024-25
