ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2024-11-05,West Virginia,,Towson,REG (Non-Conf),W 85-41,,17,1,1,1.000,0,0,1,1,1.000,1.000,4,6,.667,2,1,3,0,1,0,0,2,6,6.8,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
2,2,2,2024-11-09,West Virginia,,Niagara,REG (Non-Conf),W 110-41,,12,6,9,.667,0,0,6,9,.667,.667,2,3,.667,5,1,6,0,0,1,1,0,14,13.2,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
3,3,3,2024-11-12,West Virginia,,Pittsburgh,REG (Non-Conf),W 82-54,,11,1,2,.500,0,0,1,2,.500,.500,2,5,.400,4,2,6,0,0,0,1,4,4,2.6,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
4,4,4,2024-11-15,West Virginia,,Texas A&M,REG (Non-Conf),W 83-62,,14,3,5,.600,0,0,3,5,.600,.600,0,1,.000,1,1,2,0,0,0,1,2,6,2.5,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
5,5,5,2024-11-19,West Virginia,,Bowling Green,REG (Non-Conf),W 78-47,,11,3,5,.600,0,0,3,5,.600,.600,1,4,.250,2,1,3,0,0,0,0,2,7,4.4,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
6,6,6,2024-11-22,West Virginia,,Lafayette,REG (Non-Conf),W 98-28,*,21,5,6,.833,0,0,5,6,.833,.833,1,5,.200,3,1,4,5,2,0,0,1,11,14.7,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
7,7,7,2024-11-29,West Virginia,N,High Point,REG (Non-Conf),W 89-54,,17,5,8,.625,0,0,5,8,.625,.625,8,12,.667,6,4,10,1,1,0,1,1,18,18.5,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
8,8,8,2024-11-30,West Virginia,N,Boise State,REG (Non-Conf),W 82-47,,18,5,5,1.000,0,0,5,5,1.000,1.000,0,0,,1,5,6,0,0,1,0,2,10,10.6,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
9,9,9,2024-12-01,West Virginia,N,Texas,REG (Non-Conf),L 73-78,,5,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,4,0,-2.6,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
10,10,10,2024-12-06,West Virginia,,East Tennessee State,REG (Non-Conf),W 85-40,*,18,4,8,.500,0,0,4,8,.500,.500,0,1,.000,4,2,6,0,1,0,2,1,8,5.6,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
11,11,11,2024-12-15,West Virginia,@,Temple,REG (Non-Conf),W 68-46,,16,3,9,.333,0,0,3,9,.333,.333,0,0,,3,3,6,1,0,0,2,2,6,1.8,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
12,12,12,2024-12-21,West Virginia,@,Colorado,REG (Conf),L 60-65,,19,2,3,.667,0,0,2,3,.667,.667,3,4,.750,2,3,5,0,0,0,2,3,7,4.4,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
13,13,13,2025-01-01,West Virginia,,UCF,REG (Conf),W 80-58,,19,3,5,.600,0,0,3,5,.600,.600,3,3,1.000,2,4,6,0,0,1,3,3,9,5.8,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
14,14,14,2025-01-04,West Virginia,,Brigham Young,REG (Conf),W 66-53,,18,2,3,.667,0,0,2,3,.667,.667,5,6,.833,3,3,6,1,0,1,1,0,9,10.7,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
15,15,15,2025-01-08,West Virginia,@,Texas Tech,REG (Conf),W 89-53,,10,0,2,.000,0,0,0,2,.000,.000,0,0,,1,0,1,0,0,0,2,3,0,-3.9,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
16,16,16,2025-01-11,West Virginia,@,Oklahoma State,REG (Conf),L 57-64,,15,1,5,.200,0,0,1,5,.200,.200,2,2,1.000,4,1,5,0,0,0,2,3,4,0.8,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
17,17,17,2025-01-15,West Virginia,,Colorado,REG (Conf),W 73-46,,6,0,1,.000,0,0,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
18,18,18,2025-01-19,West Virginia,,Iowa State,REG (Conf),W 82-68,,13,2,3,.667,0,0,2,3,.667,.667,0,0,,1,2,3,1,2,0,0,1,4,6.3,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
19,19,19,2025-01-22,West Virginia,@,Arizona State,REG (Conf),W 89-59,,12,0,2,.000,0,0,0,2,.000,.000,1,2,.500,1,5,6,0,0,0,1,0,1,0.4,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
20,20,20,2025-01-25,West Virginia,@,Arizona,REG (Conf),L 62-77,,22,1,2,.500,0,0,1,2,.500,.500,0,0,,1,3,4,0,0,0,1,2,2,0.8,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
21,21,21,2025-02-01,West Virginia,,Oklahoma State,REG (Conf),W 54-37,,21,2,6,.333,0,0,2,6,.333,.333,0,0,,2,1,3,0,0,1,4,3,4,-2.2,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
22,22,22,2025-02-05,West Virginia,,Kansas,REG (Conf),W 76-43,,12,2,3,.667,0,0,2,3,.667,.667,2,2,1.000,1,2,3,0,0,1,2,1,6,4.3,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
23,23,23,2025-02-08,West Virginia,@,Houston,REG (Conf),W 79-51,,15,2,4,.500,0,0,2,4,.500,.500,0,3,.000,0,1,1,1,1,0,1,1,4,1.4,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
24,24,24,2025-02-11,West Virginia,@,Baylor,REG (Conf),L 65-75,,20,2,3,.667,0,0,2,3,.667,.667,0,0,,2,1,3,1,0,0,1,4,4,2.5,Jordan Thomas,https://www.sports-reference.com/cbb/players/jordan-thomas-2.html,west-virginia,2024-25
