ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,88,1,2024-11-05,West Virginia,,Towson,REG (Non-Conf),W 85-41,,11,0,3,.000,0,2,.000,0,1,.000,.000,1,2,.500,1,1,2,0,0,0,1,0,1,-1.5,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
2,89,2,2024-11-09,West Virginia,,Niagara,REG (Non-Conf),W 110-41,,17,3,7,.429,1,1,1.000,2,6,.333,.500,0,2,.000,5,3,8,0,1,0,3,2,7,4.1,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
3,90,3,2024-11-12,West Virginia,,Pittsburgh,REG (Non-Conf),W 82-54,,7,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,1,0,0,2,0,-0.5,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
4,91,4,2024-11-15,West Virginia,,Texas A&M,REG (Non-Conf),W 83-62,,2,1,1,1.000,0,0,,1,1,1.000,1.000,2,3,.667,0,0,0,0,0,0,0,1,4,2.9,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
5,92,5,2024-11-19,West Virginia,,Bowling Green,REG (Non-Conf),W 78-47,,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,2,2,0,0,0,2,2,2,-1.2,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
6,93,6,2024-11-22,West Virginia,,Lafayette,REG (Non-Conf),W 98-28,,17,1,2,.500,0,1,.000,1,1,1.000,.500,1,2,.500,1,0,1,0,1,0,2,2,3,0.5,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
7,94,7,2024-11-29,West Virginia,N,High Point,REG (Non-Conf),W 89-54,,7,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,1,1,2,0,0,0,0,2,2,0.8,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
8,95,8,2024-11-30,West Virginia,N,Boise State,REG (Non-Conf),W 82-47,,5,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,2,0,0,1,1,2,2.0,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
9,96,10,2024-12-06,West Virginia,,East Tennessee State,REG (Non-Conf),W 85-40,,11,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,2,1,3,0,0,0,2,2,2,-0.8,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
10,97,13,2025-01-01,West Virginia,,UCF,REG (Conf),W 80-58,,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,1,2,0,0,0,5,0,0,-4.7,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
11,98,15,2025-01-08,West Virginia,@,Texas Tech,REG (Conf),W 89-53,,7,1,2,.500,0,1,.000,1,1,1.000,.500,2,2,1.000,0,1,1,1,1,0,0,1,4,4.6,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
12,99,16,2025-01-11,West Virginia,@,Oklahoma State,REG (Conf),L 57-64,,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,0,0,0,0.7,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
13,100,17,2025-01-15,West Virginia,,Colorado,REG (Conf),W 73-46,,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
14,101,18,2025-01-19,West Virginia,,Iowa State,REG (Conf),W 82-68,,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
15,102,19,2025-01-22,West Virginia,@,Arizona State,REG (Conf),W 89-59,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
16,103,20,2025-01-25,West Virginia,@,Arizona,REG (Conf),L 62-77,,1,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,0,0,0,0,0,0,1,3,1.9,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
17,104,22,2025-02-05,West Virginia,,Kansas,REG (Conf),W 76-43,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,Zya Nugent,https://www.sports-reference.com/cbb/players/zya-nugent-1.html,west-virginia,2024-25
